rank,title,link,object_id,score,comments,author,created,created_at_i,story_text,comment_text,num_points,story_id,story_title,story_url,parent_id,relevancy_score,termo
1,Vibe code is legacy code,https://blog.val.town/vibe-code,44739556,758,454,simonw,2025-07-30T21:13:20Z,1753910000,,,758,44739556,,,,0,vibe cod
2,"If you're going to vibe code, why not do it in C?",https://stephenramsay.net/posts/vibe-coding.html,46207505,621,596,sramsay,2025-12-09T17:11:09Z,1765300269,,,621,46207505,,,,0,vibe cod
3,Show HN: I'm a dermatologist and I vibe coded a skin cancer learning app,https://molecheck.info/,45157020,429,259,sungam,2025-09-07T10:38:29Z,1757241509,"Coded using Gemini Pro 2.5 (free version) in about 2-3 hours.<p>Single file including all html&#x2F;js&#x2F;css, Vanilla JS, no backend, scores persisted with localStorage.<p>Deployed using ubuntu&#x2F;apache2&#x2F;python&#x2F;flask on a £5 Digital Ocean server (but could have been hosted on a static hosting provider as it&#x27;s just a single page with no backend).<p>Images &#x2F; metadata stored in an AWS S3 bucket.",,429,45157020,,,,0,vibe cod
4,Vibe Code Warning – A personal casestudy,https://github.com/jackdoe/pico2-swd-riscv,45874987,400,313,jackdoe,2025-11-10T11:45:15Z,1762775115,,,400,45874987,,,,0,vibe cod
5,I know when you're vibe coding,https://alexkondov.com/i-know-when-youre-vibe-coding/,44742251,353,173,thunderbong,2025-07-31T04:16:40Z,1753935400,,,353,44742251,,,,0,vibe cod
6,What Google Translate can tell us about vibecoding,https://ingrids.space/posts/what-google-translate-can-tell-us-about-vibecoding/,44302870,288,171,todsacerdoti,2025-06-17T19:23:10Z,1750188190,,,288,44302870,,,,0,vibe cod
7,"Running Qwen3 on your macbook, using MLX, to vibe code for free",https://localforge.dev/blog/running-qwen3-macbook-mlx,43856489,286,163,avetiszakharyan,2025-05-01T11:54:04Z,1746100444,,,286,43856489,,,,0,vibe cod
8,"""Vibe code hell"" has replaced ""tutorial hell"" in coding education",https://blog.boot.dev/education/vibe-code-hell/,45540313,283,161,wagslane,2025-10-10T15:48:24Z,1760111304,,,283,45540313,,,,0,vibe cod
9,Typed languages are better suited for vibecoding,https://solmaz.io/typed-languages-are-better-suited-for-vibecoding,44780878,274,229,hosolmaz,2025-08-03T23:55:31Z,1754265331,,,274,44780878,,,,0,vibe cod
10,Vibe Coding is not an excuse for low-quality work,https://addyo.substack.com/p/vibe-coding-is-not-an-excuse-for,43739037,259,200,saikatsg,2025-04-19T20:00:17Z,1745092817,,,259,43739037,,,,0,vibe cod
11,Vibe coding cleanup as a service,https://donado.co/en/articles/2025-09-16-vibe-coding-cleanup-as-a-service/,45320431,250,144,sjdonado,2025-09-21T06:01:49Z,1758434509,,,250,45320431,,,,0,vibe cod
12,Vibe coding is mad depressing,https://law.gmnz.xyz/vibe-coding-is-mad-depressing/,46227422,243,139,dirtylowprofile,2025-12-11T03:50:04Z,1765425004,,,243,46227422,,,,0,vibe cod
13,Vibe coding tips and tricks,https://github.com/awslabs/mcp/blob/main/VIBE_CODING_TIPS_TRICKS.md,44940089,227,93,mooreds,2025-08-18T12:57:28Z,1755521848,,,227,44940089,,,,0,vibe cod
14,Vibe coding creates a bus factor of zero,https://www.mindflash.org/coding/ai/ai-and-the-bus-factor-of-0-1608,44966856,223,131,AntwaneB,2025-08-20T21:47:05Z,1755726425,,,223,44966856,,,,0,vibe cod
15,“Vibe Coding” vs. Reality,https://cendyne.dev/posts/2025-03-19-vibe-coding-vs-reality.html,43448432,221,297,birdculture,2025-03-22T20:35:51Z,1742675751,,,221,43448432,,,,0,vibe cod
16,Perverse incentives of vibe coding,https://fredbenenson.medium.com/the-perverse-incentives-of-vibe-coding-23efbaf75aee,43988315,207,228,laurex,2025-05-14T19:29:38Z,1747250978,,,207,43988315,,,,0,vibe cod
17,Every vibe-coded website is the same page with different words. So I made that,https://vibe-coded.lol/,45622944,207,117,todsacerdoti,2025-10-17T22:36:48Z,1760740608,,,207,45622944,,,,0,vibe cod
18,Ask HN: How to deal with long vibe-coded PRs?,https://news.ycombinator.com/item?id=45744209,45744209,186,349,philippta,2025-10-29T08:37:36Z,1761727056,"Today I came across a PR for a (in theory) relatively simple service.<p>It span across 9000 LOC, 63 new files, including a DSL parser and much more.<p>How would you go about reviewing a PR like this?",,186,45744209,,,,0,vibe cod
19,Vibe coding as a coding veteran: from 8-bit assembly to English-as-code,https://levelup.gitconnected.com/vibe-coding-as-a-coding-veteran-cd370fe2be50,45053764,181,124,thunderbong,2025-08-28T15:55:15Z,1756396515,,,181,45053764,,,,0,vibe cod
20,Vibe-Coding a PCB – surprisingly good,https://atomic14.substack.com/p/vibe-coding-a-pcb-surprisingly-good,44542880,172,69,iamflimflam1,2025-07-12T15:47:26Z,1752335246,,,172,44542880,,,,0,vibe cod
