rank,nome,url,descricao,estrelas,watchers,forks,linguagem,criado,atualizado,pushed_at,tamanho,licenca,licenca_spdx,topics,open_issues,default_branch,archived,disabled,private,fork,owner,owner_type,owner_url,owner_avatar,has_issues,has_projects,has_wiki,has_pages,has_downloads,allow_forking,is_template,web_commit_signoff_required,visibility,forks_url,clone_url,homepage,termo
1,praetorian-inc/gato,https://github.com/praetorian-inc/gato,GitHub Actions Pipeline Enumeration and Attack Tool,718,718,65,Python,2023-01-06T15:43:27Z,2025-12-12T06:29:45Z,2025-09-17T04:46:36Z,5602,Apache License 2.0,Apache-2.0,,14,main,False,False,False,False,praetorian-inc,Organization,https://github.com/praetorian-inc,https://avatars.githubusercontent.com/u/8173787?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/praetorian-inc/gato/forks,https://github.com/praetorian-inc/gato.git,,gato
2,ccampbell/gator,https://github.com/ccampbell/gator,Event delegation in Javascript,492,492,45,JavaScript,2012-11-28T16:49:21Z,2025-11-17T02:53:41Z,2017-12-12T22:16:01Z,269,,,"event-delegation, events, javascript",20,master,False,False,False,False,ccampbell,User,https://github.com/ccampbell,https://avatars.githubusercontent.com/u/259316?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/ccampbell/gator/forks,https://github.com/ccampbell/gator.git,http://craig.is/riding/gators,gato
3,AdnaneKhan/gato-x,https://github.com/AdnaneKhan/gato-x,GitHub Attack Toolkit - Extreme Edition - A static analysis and exploit toolkit for GitHub Actions.,467,467,44,Python,2024-01-27T18:55:16Z,2025-12-12T09:59:28Z,2025-12-08T17:12:58Z,6449,Apache License 2.0,Apache-2.0,"bugbounty, cicd, github, github-actions, hacking, red-team",15,main,False,False,False,False,AdnaneKhan,User,https://github.com/AdnaneKhan,https://avatars.githubusercontent.com/u/2006441?v=4,True,False,True,True,True,True,False,False,public,https://api.github.com/repos/AdnaneKhan/gato-x/forks,https://github.com/AdnaneKhan/gato-x.git,https://adnanekhan.github.io/gato-x/,gato
4,GatoGraphQL/GatoGraphQL,https://github.com/GatoGraphQL/GatoGraphQL,Interact with all your data in WordPress using GraphQL,377,377,43,PHP,2016-08-27T15:27:57Z,2025-12-08T14:22:10Z,2025-12-05T08:07:43Z,302164,GNU General Public License v2.0,GPL-2.0,"content-sync, graphql, graphql-api, graphql-server, headless, migrations, php, rest-api, wordpress, wordpress-plugin",17,master,False,False,False,False,GatoGraphQL,Organization,https://github.com/GatoGraphQL,https://avatars.githubusercontent.com/u/142226042?v=4,True,True,False,False,True,True,False,False,public,https://api.github.com/repos/GatoGraphQL/GatoGraphQL/forks,https://github.com/GatoGraphQL/GatoGraphQL.git,https://gatographql.com,gato
5,mamba-org/gator,https://github.com/mamba-org/gator,Conda environment and package management extension from within Jupyter,274,274,36,TypeScript,2018-08-02T05:15:23Z,2025-12-12T03:42:55Z,2025-12-12T03:42:51Z,6590,Other,NOASSERTION,"conda, jupyter-notebook, jupyterlab-extension",47,main,False,False,False,False,mamba-org,Organization,https://github.com/mamba-org,https://avatars.githubusercontent.com/u/66118895?v=4,True,True,False,False,True,True,False,False,public,https://api.github.com/repos/mamba-org/gator/forks,https://github.com/mamba-org/gator.git,https://mamba-gator.readthedocs.io/en/latest/,gato
6,OrigamiDream/gato,https://github.com/OrigamiDream/gato,Unofficial Gato: A Generalist Agent,217,217,32,Python,2022-06-24T10:50:08Z,2025-11-19T11:27:31Z,2024-01-14T03:40:54Z,80,MIT License,MIT,"gato, generalist-agent, neural-network, tensorflow, transformer",2,main,False,False,False,False,OrigamiDream,User,https://github.com/OrigamiDream,https://avatars.githubusercontent.com/u/5837620?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/OrigamiDream/gato/forks,https://github.com/OrigamiDream/gato.git,,gato
7,brandonmpetty/Doxa,https://github.com/brandonmpetty/Doxa,"A Local Adaptive Thresholding framework for image binarization written in C++, with JS and Python bindings.  Implementing: Otsu, Bernsen, Niblack, Sauvola, Wolf, Gatos, NICK, Su, T.R. Singh,  WAN, ISauvola, Bataineh, Chan and Shafait.",183,183,38,C++,2017-02-24T06:12:53Z,2025-10-06T02:13:40Z,2025-07-05T19:24:20Z,5756,Creative Commons Zero v1.0 Universal,CC0-1.0,binarization,9,master,False,False,False,False,brandonmpetty,User,https://github.com/brandonmpetty,https://avatars.githubusercontent.com/u/25997477?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/brandonmpetty/Doxa/forks,https://github.com/brandonmpetty/Doxa.git,https://brandonmpetty.github.io/Doxa/WebAssembly,gato
8,ARM-software/gator,https://github.com/ARM-software/gator,"Sources for Arm Streamline's gator daemon, part of Arm Mobile Studio suite of performance analysis tools",142,142,69,C++,2014-11-17T10:55:26Z,2025-12-12T06:15:38Z,2025-11-03T11:07:44Z,5317,,,"android, arm, arm64, game-development, linux, performance, performance-analysis, profiling",13,main,False,False,False,False,ARM-software,Organization,https://github.com/ARM-software,https://avatars.githubusercontent.com/u/5690313?v=4,True,True,False,False,True,True,False,False,public,https://api.github.com/repos/ARM-software/gator/forks,https://github.com/ARM-software/gator.git,https://www.arm.com/products/development-tools/graphics/arm-mobile-studio,gato
9,uf-hobi-informatics-lab/GatorTron,https://github.com/uf-hobi-informatics-lab/GatorTron,all scripts used in gatortron project,128,128,24,Python,2021-04-08T15:27:39Z,2025-11-29T07:56:02Z,2023-11-03T13:00:02Z,291,MIT License,MIT,,4,main,False,False,False,False,uf-hobi-informatics-lab,Organization,https://github.com/uf-hobi-informatics-lab,https://avatars.githubusercontent.com/u/49126565?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/uf-hobi-informatics-lab/GatorTron/forks,https://github.com/uf-hobi-informatics-lab/GatorTron.git,,gato
10,davidortinau/LosGatos,https://github.com/davidortinau/LosGatos,,94,94,18,C#,2020-11-06T16:23:14Z,2023-05-04T04:59:27Z,2021-01-13T17:16:28Z,13907,MIT License,MIT,,1,main,False,False,False,False,davidortinau,User,https://github.com/davidortinau,https://avatars.githubusercontent.com/u/41873?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/davidortinau/LosGatos/forks,https://github.com/davidortinau/LosGatos.git,,gato
11,anrbn/GATOR,https://github.com/anrbn/GATOR,"GATOR - GCP Attack Toolkit for Offensive Research, a tool designed to aid in research and exploiting Google Cloud Environments",89,89,9,Python,2023-05-18T04:17:03Z,2025-11-08T19:46:28Z,2024-06-22T15:42:41Z,24450,Other,NOASSERTION,"cloudsecurity, gcp, gcpsecurity, offensive-security, redteam-tools",0,main,False,False,False,False,anrbn,User,https://github.com/anrbn,https://avatars.githubusercontent.com/u/63131674?v=4,True,True,False,False,True,True,False,False,public,https://api.github.com/repos/anrbn/GATOR/forks,https://github.com/anrbn/GATOR.git,,gato
12,GatorEducator/gatorgrader,https://github.com/GatorEducator/gatorgrader,:heavy_check_mark: Automated Grading Tool that Checks the Work of Writers and Programmers,81,81,27,Python,2017-08-10T15:27:37Z,2025-02-14T14:38:30Z,2025-01-28T21:10:42Z,4658,GNU General Public License v3.0,GPL-3.0,"auto-grading, github-classroom, grading, python",29,master,False,False,False,False,GatorEducator,Organization,https://github.com/GatorEducator,https://avatars.githubusercontent.com/u/37027457?v=4,True,True,False,False,True,True,False,False,public,https://api.github.com/repos/GatorEducator/gatorgrader/forks,https://github.com/GatorEducator/gatorgrader.git,,gato
13,oduwsdl/MemGator,https://github.com/oduwsdl/MemGator,A Memento Aggregator CLI and Server in Go,72,72,11,Go,2015-09-08T01:43:25Z,2025-12-11T21:44:18Z,2025-03-04T16:55:47Z,15751,MIT License,MIT,"memento, memento-rfc, timemap, web-archiving",44,master,False,False,False,False,oduwsdl,Organization,https://github.com/oduwsdl,https://avatars.githubusercontent.com/u/4416806?v=4,True,True,True,True,True,True,False,False,public,https://api.github.com/repos/oduwsdl/MemGator/forks,https://github.com/oduwsdl/MemGator.git,https://memgator.cs.odu.edu/api.html,gato
14,suissa/arquitetura-foda,https://github.com/suissa/arquitetura-foda,Um balaio de gato,56,56,3,JavaScript,2015-09-24T09:56:51Z,2025-10-29T05:06:33Z,2025-10-29T05:06:29Z,31,,,,0,master,False,False,False,False,suissa,User,https://github.com/suissa,https://avatars.githubusercontent.com/u/75607?v=4,True,True,True,False,True,True,False,False,public,https://api.github.com/repos/suissa/arquitetura-foda/forks,https://github.com/suissa/arquitetura-foda.git,,gato
