rank,titulo,url,url_mobile,resumo,extract_html,thumbnail,thumbnail_width,thumbnail_height,originalimage,originalimage_width,originalimage_height,lang,dir,timestamp,description,coordinates,snippet,size,wordcount,titlesnippet,sectiontitle,termo,idioma
1,Gato,https://pt.wikipedia.org/wiki/Gato,https://pt.wikipedia.org/wiki/Gato,"O gato ou gato doméstico é um mamífero carnívoro da família dos felídeos, muito popular como animal de estimação. Ocupando o topo da cadeia alimentar, é predador natural de diversos animais, como roedores, pássaros, lagartixas e alguns insetos. Segundo pesquisas realizadas por instituições norte-americanas, os gatos consistem no segundo animal de estimação mais popular do mundo, estando numericamente atrás apenas dos peixes de aquário. Consta em trigésimo nono na lista das 100 das espécies exóticas invasoras mais daninhas do mundo da União Internacional para a Conservação da Natureza (UICN).","<p>O <b>gato</b> ou <b>gato doméstico</b> é um mamífero carnívoro da família dos felídeos, muito popular como animal de estimação. Ocupando o topo da cadeia alimentar, é predador natural de diversos animais, como roedores, pássaros, lagartixas e alguns insetos. Segundo pesquisas realizadas por instituições norte-americanas, os gatos consistem no segundo animal de estimação mais popular do mundo, estando numericamente atrás apenas dos peixes de aquário. Consta em trigésimo nono na lista das 100 das espécies exóticas invasoras mais daninhas do mundo da União Internacional para a Conservação da Natureza (UICN).</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Cat_August_2010-4.jpg/330px-Cat_August_2010-4.jpg,320,196,https://upload.wikimedia.org/wikipedia/commons/1/15/Cat_August_2010-4.jpg,3640,2226,pt,ltr,2025-10-30T00:12:17Z,espécie domesticada de felino,," Nota: Para outros significados, veja <span class=""searchmatch"">Gato</span> (desambiguação). O <span class=""searchmatch"">gato</span> (nome científico: Felis catus) ou <span class=""searchmatch"">gato</span> doméstico é um mamífero carnívoro da família",170995,17566,,,gato,pt
2,Gato de Schrödinger,https://pt.wikipedia.org/wiki/Gato_de_Schr%C3%B6dinger,https://pt.wikipedia.org/wiki/Gato_de_Schr%C3%B6dinger,"O Gato de Schrödinger é uma experiência mental, frequentemente descrita como um paradoxo, desenvolvida pelo físico austríaco Erwin Schrödinger, em 1935. A experiência procura ilustrar a interpretação de Copenhague da mecânica quântica, imaginando-a aplicada a objetos do dia a dia. No exemplo, há um gato encerrado em uma caixa, de forma a não estar apenas vivo ou apenas morto, mas sim em uma sobreposição desses dois estados.","<p>O <b>Gato de Schrödinger</b> é uma experiência mental, frequentemente descrita como um paradoxo, desenvolvida pelo físico austríaco Erwin Schrödinger, em 1935. A experiência procura ilustrar a interpretação de Copenhague da mecânica quântica, imaginando-a aplicada a objetos do dia a dia. No exemplo, há um gato encerrado em uma caixa, de forma a não estar apenas vivo ou apenas morto, mas sim em uma sobreposição desses dois estados.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Schrodingers_cat.svg/langpt-330px-Schrodingers_cat.svg.png,320,170,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Schrodingers_cat.svg/langpt-1995px-Schrodingers_cat.svg.png,1995,1060,pt,ltr,2025-08-21T17:00:17Z,experimento mental na mecânica​ quântica,,"O <span class=""searchmatch"">Gato</span> de Schrödinger é uma experiência mental, frequentemente descrita como um paradoxo, desenvolvida pelo físico austríaco Erwin Schrödinger, em 1935",22351,2906,,,gato,pt
3,Siamês (gato),https://pt.wikipedia.org/wiki/Siam%C3%AAs_(gato),https://pt.wikipedia.org/wiki/Siam%C3%AAs_(gato),"Gato siamês é uma raça de gato oriental, caracterizada por um corpo elegante e esguio e uma cabeça marcadamente triangular. Pode ser confundido com a raça de gatos Thai que tem origem na raça siamesa mas apresenta uma morfologia bem distinta — o gato Thai é semelhante ao siamês antigo.","<p><b>Gato siamês</b> é uma raça de gato oriental, caracterizada por um corpo elegante e esguio e uma cabeça marcadamente triangular. Pode ser confundido com a raça de gatos Thai que tem origem na raça siamesa mas apresenta uma morfologia bem distinta — o gato Thai é semelhante ao siamês antigo.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Siamese_cat.jpg/330px-Siamese_cat.jpg,320,256,https://upload.wikimedia.org/wikipedia/commons/9/97/Siamese_cat.jpg,600,480,pt,ltr,2025-11-30T14:44:59Z,raça de gato doméstico,,"<span class=""searchmatch"">Gato</span> siamês é uma raça de <span class=""searchmatch"">gato</span> oriental, caracterizada por um corpo elegante e esguio e uma cabeça marcadamente triangular. Pode ser confundido com a raça",12927,1532,,,gato,pt
4,Gato Fedorento,https://pt.wikipedia.org/wiki/Gato_Fedorento,https://pt.wikipedia.org/wiki/Gato_Fedorento,"O Gato Fedorento foi um grupo de quatro humoristas portugueses composto por José Diogo Quintela, Miguel Góis, Ricardo de Araújo Pereira e Tiago Dores.
Começaram a sua carreira através de ""stand-up comedy"" e mais tarde viriam a ter vários programas na televisão portuguesa.","<p>O <b>Gato Fedorento</b> foi um grupo de quatro humoristas portugueses composto por José Diogo Quintela, Miguel Góis, Ricardo de Araújo Pereira e Tiago Dores.
Começaram a sua carreira através de ""stand-up comedy"" e mais tarde viriam a ter vários programas na televisão portuguesa.</p>",https://upload.wikimedia.org/wikipedia/pt/thumb/d/de/Logo_Gato_Fedorento.png/330px-Logo_Gato_Fedorento.png,320,169,https://upload.wikimedia.org/wikipedia/pt/d/de/Logo_Gato_Fedorento.png,500,264,pt,ltr,2025-04-17T19:05:15Z,grupo de humoristas portugueses,,"O <span class=""searchmatch"">Gato</span> Fedorento foi um grupo de quatro humoristas portugueses composto por José Diogo Quintela, Miguel Góis, Ricardo de Araújo Pereira e Tiago Dores.",20378,2434,,,gato,pt
5,Gato-maracajá,https://pt.wikipedia.org/wiki/Gato-maracaj%C3%A1,https://pt.wikipedia.org/wiki/Gato-maracaj%C3%A1,"O gato-maracajá, gato-da-mata, gato-peludo ou maracajá-peludo é um pequeno felino nativo da América Central e América do Sul. Solitário e noturno, vive principalmente em florestas perenes e decíduas.","<p>O <b>gato-maracajá</b>, <b>gato-da-mata</b>, <b>gato-peludo</b> ou <b>maracajá-peludo</b> é um pequeno felino nativo da América Central e América do Sul. Solitário e noturno, vive principalmente em florestas perenes e decíduas.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Tika2009Jan24.jpg/330px-Tika2009Jan24.jpg,320,342,https://upload.wikimedia.org/wikipedia/commons/8/8a/Tika2009Jan24.jpg,719,768,pt,ltr,2025-08-28T19:40:41Z,Gato-maracaja,,"Para outras acepções, veja <span class=""searchmatch"">gato</span>-do-mato.  Nota: Para o povo indígena, veja Maracajás. O <span class=""searchmatch"">gato</span>-maracajá, <span class=""searchmatch"">gato</span>-da-mata, <span class=""searchmatch"">gato</span>-peludo ou maracajá-peludo (nome",43118,3888,,,gato,pt
6,Sphynx,https://pt.wikipedia.org/wiki/Sphynx,https://pt.wikipedia.org/wiki/Sphynx,"Sphynx, gato pelado canadense ou gato-esfinge, é uma raça de gatos originária do Canadá, e que é conhecida por não ter pelos. Inclusivamente foi esta raça que inspirou o personagem Beerus do animangá Dragon Ball.","<p><b>Sphynx</b>, gato <b>pelado canadense</b> ou <b>gato-esfinge</b>, é uma raça de gatos originária do Canadá, e que é conhecida por não ter pelos. Inclusivamente foi esta raça que inspirou o personagem Beerus do animangá Dragon Ball.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/GreekSphynxCat1.png/330px-GreekSphynxCat1.png,320,231,https://upload.wikimedia.org/wikipedia/commons/9/99/GreekSphynxCat1.png,3506,2532,pt,ltr,2025-12-09T21:11:34Z,raça felina,,"Sphynx, <span class=""searchmatch"">gato</span> pelado canadense ou <span class=""searchmatch"">gato</span>-esfinge (também comummente, mas erroneamente, chamado de <span class=""searchmatch"">gato</span>-egípcio), é uma raça de <span class=""searchmatch"">gatos</span> originária do Canadá",7319,809,,,gato,pt
7,Gato malhado,https://pt.wikipedia.org/wiki/Gato_malhado,https://pt.wikipedia.org/wiki/Gato_malhado,"Um gato malhado, gato tigrado ou ainda tabby é qualquer gato doméstico com um padrão de pele caracterizado por uma marca em formado de M em sua testa e listras em seus olhos, bochechas, dorso, pernas e calda.","<p>Um <b>gato malhado</b>, <b>gato tigrado</b> ou ainda <i><b>tabby</b></i> é qualquer gato doméstico com um padrão de pele caracterizado por uma marca em formado de M em sua testa e listras em seus olhos, bochechas, dorso, pernas e calda.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Cat_November_2010-1a.jpg/330px-Cat_November_2010-1a.jpg,320,427,https://upload.wikimedia.org/wikipedia/commons/4/4d/Cat_November_2010-1a.jpg,1795,2397,pt,ltr,2025-06-08T21:45:43Z,"tipo de gato doméstico, notável por seu padrão de pele",,"Um <span class=""searchmatch"">gato</span> malhado, <span class=""searchmatch"">gato</span> tigrado ou ainda tabby é qualquer <span class=""searchmatch"">gato</span> doméstico (Felis catus) com um padrão de pele caracterizado por uma marca em formado de M",2909,302,,,gato,pt
8,Felis lybica,https://pt.wikipedia.org/wiki/Felis_lybica,https://pt.wikipedia.org/wiki/Felis_lybica,"O gato-selvagem-africano, gato-da-núbia ou gato-da-líbia é uma subespécie do gato-selvagem que habita a África, o leste asiático, a Ásia central, norte da península indiana e oeste da China.","<p>O <b>gato-selvagem-africano</b>, <b>gato-da-núbia</b> ou <b>gato-da-líbia</b> é uma subespécie do gato-selvagem que habita a África, o leste asiático, a Ásia central, norte da península indiana e oeste da China.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Southern_African_Wildcat_%28Felis_sylvestris_cafra%29_female_..._%28captive_specimen%29_%2839789072173%29.jpg/330px-Southern_African_Wildcat_%28Felis_sylvestris_cafra%29_female_..._%28captive_specimen%29_%2839789072173%29.jpg,320,236,https://upload.wikimedia.org/wikipedia/commons/f/f6/Southern_African_Wildcat_%28Felis_sylvestris_cafra%29_female_..._%28captive_specimen%29_%2839789072173%29.jpg,4366,3219,pt,ltr,2025-08-25T13:25:43Z,espécie de mamífero,,"O <span class=""searchmatch"">gato</span>-selvagem-africano (nome científico: Felis lybica), <span class=""searchmatch"">gato</span>-da-núbia ou <span class=""searchmatch"">gato</span>-da-líbia é uma subespécie do <span class=""searchmatch"">gato</span>-selvagem que habita a África, o leste",4498,334,,,gato,pt
9,Pedro Dom,https://pt.wikipedia.org/wiki/Pedro_Dom,https://pt.wikipedia.org/wiki/Pedro_Dom,"Pedro Machado Lomba Neto, mais conhecido pela alcunha Pedro Dom ou Bandido Gato, foi um criminoso brasileiro da classe média carioca que chefiou uma violenta quadrilha especializada em assaltar edifícios de luxo no Rio de Janeiro.","<p><b>Pedro Machado Lomba Neto</b>, mais conhecido pela alcunha <b>Pedro Dom</b> ou <b>Bandido Gato</b>, foi um criminoso brasileiro da classe média carioca que chefiou uma violenta quadrilha especializada em assaltar edifícios de luxo no Rio de Janeiro.</p>",,0,0,,0,0,pt,ltr,2025-11-07T00:03:56Z,criminoso brasileiro,,"Pedro Machado Lomba Neto, mais conhecido pela alcunha Pedro Dom ou Bandido <span class=""searchmatch"">Gato</span> (Rio de Janeiro, 27 de setembro de 1981 — Rio de Janeiro, 15 de setembro",6283,690,,,gato,pt
10,Gato-do-mato-pequeno,https://pt.wikipedia.org/wiki/Gato-do-mato-pequeno,https://pt.wikipedia.org/wiki/Gato-do-mato-pequeno,"O gato-do-mato-pequeno, gato-macambira, pintadinho, mumuninha, gato-lagartixeiro, chué, gato-maracajá-mirim, macarajaí ou gato-maracajá é um mamífero da família dos felídeos (felidae) originário da América Central e América do Sul. É aparentado à jaguatirica e ao gato-maracajá. É listado como vulnerável na Lista Vermelha da União Internacional para a Conservação da Natureza (UICN), e a população está ameaçada pelo desmatamento e conversão de habitat em terras agrícolas. Em 2013, foi proposto atribuir às populações de gatos-do-mato-pequenos no sul do Brasil, Paraguai e Argentina a uma nova espécie depois que foi descoberto que não cruza com a população de gatos-do-mato-pequenos no Nordeste do Brasil.","<p>O <b>gato-do-mato-pequeno</b>, <b>gato-macambira</b>, <b>pintadinho</b>, <b>mumuninha</b>, <b>gato-lagartixeiro</b>, <b>chué</b>, <b>gato-maracajá-mirim</b>, <b>macarajaí</b> ou <b>gato-maracajá</b> é um mamífero da família dos felídeos (<i>felidae</i>) originário da América Central e América do Sul. É aparentado à jaguatirica e ao gato-maracajá. É listado como vulnerável na Lista Vermelha da União Internacional para a Conservação da Natureza (UICN), e a população está ameaçada pelo desmatamento e conversão de habitat em terras agrícolas. Em 2013, foi proposto atribuir às populações de gatos-do-mato-pequenos no sul do Brasil, Paraguai e Argentina a uma nova espécie depois que foi descoberto que não cruza com a população de gatos-do-mato-pequenos no Nordeste do Brasil.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Leopardus_tigrinus_-_Parc_des_F%C3%A9lins.jpg/330px-Leopardus_tigrinus_-_Parc_des_F%C3%A9lins.jpg,320,236,https://upload.wikimedia.org/wikipedia/commons/3/32/Leopardus_tigrinus_-_Parc_des_F%C3%A9lins.jpg,1158,853,pt,ltr,2025-12-11T03:12:53Z,espécie de felídeo,,"veja <span class=""searchmatch"">gato</span>-do-mato. O <span class=""searchmatch"">gato</span>-do-mato-pequeno, <span class=""searchmatch"">gato</span>-macambira, pintadinho, mumuninha, <span class=""searchmatch"">gato</span>-lagartixeiro, chué, <span class=""searchmatch"">gato</span>-maracajá-mirim, macarajaí ou <span class=""searchmatch"">gato</span>-maracajá",39712,3488,,,gato,pt
