rank,titulo,autores,autores_lista,ano,link,resumo,citacoes,referencias,venue,fields_of_study,publication_types,publication_date,journal,paper_id,external_ids,is_open_access,open_access_pdf,termo,tentativa
1,Conduta diagnóstica e terapêutica para corpo estranho linear em gato: Relato de caso,"R. Bernardo, Giovanna Rossi Varallo, R. N. Silveira","['R. Bernardo', 'Giovanna Rossi Varallo', 'R. N. Silveira']",2023,https://www.semanticscholar.org/paper/74a547f617b48efa59bd7914d9aead0b3c88cf2a,"Corpos estranhos (CE) no trato gastrintestinal é um problema frequente na rotina cirúrgica de pequenos animais, em especial nos filhotes. Nos gatos domésticos, é frequente o diagnóstico de CE lineares. Eles causam severas complicações graves, as quais podem evoluir para o óbito. O diagnóstico é confirmado por meio do histórico, achados de exames clínico, laboratorial e de imagem ou, em determinadas situações, pela celiotomia exploratória. O tratamento pode ser cirúrgico, por meio da gastrotomia e/ou enterotomia e/ou enterectomia. Este relato teve como objetivo descrever a conduta diagnóstica e terapêutica em um gato com CE linear. O paciente foi submetido ao procedimento cirúrgico, sendo realizada as técnicas de gastrotomia, enterectomia de um segmento do intestino delgado, e enterotomia para a remoção do barbante, o paciente recuperou-se bem e obteve alta médica.",5,0,PubVet,None,None,2023-01-01,Pubvet,74a547f617b48efa59bd7914d9aead0b3c88cf2a,"{""DOI"": ""10.31533/pubvet.v17n01a1334"", ""CorpusId"": 256529033}",True,http://www.pubvet.com.br/uploads/bcd9f180ebd796793610a4da399207f7.pdf,gato,1
2,Melhor fosse a vida exceção: entrevista com Margarida Vale de Gato,"M. Gato, F. Velasco, Frederico Klumb","['M. Gato', 'F. Velasco', 'Frederico Klumb']",2023,https://www.semanticscholar.org/paper/52ae5769cfb44dd163c5ce9cd7c5f7f3d3ec9bf3,,0,0,eLyra,None,JournalArticle,,Elyra,52ae5769cfb44dd163c5ce9cd7c5f7f3d3ec9bf3,"{""DOI"": ""10.21747/21828954/ely21ent"", ""CorpusId"": 259912645}",True,https://elyra.org/index.php/elyra/article/download/477/506/1447,gato,1
3,Toxicidade da Uncaria Tomentosa (Unha-de-Gato): uma revisão,"D. D. A. Moysés, Jânio Sousa Santos","['D. D. A. Moysés', 'Jânio Sousa Santos']",2022,https://www.semanticscholar.org/paper/ffa8b920f8a89db000201b3ee9276d3bef7f6a86,"A Uncaria tomentosa (Unha-de-Gato) é usada amplamente pela população brasileira por ser de fácil aquisição, logo, a compreensão dos seus efeitos toxicológicos contribui para evitar ação nociva ocasionada por seus constituintes. A toxicidade dessas substâncias pode ser analisada por vários métodos que utilizam modelos in vitro, in vivo, ex vivo e in silico. Nesse contexto, buscou-se avaliar a toxicidade da Uncaria tomentosa. O presente estudo tratou-se de uma pesquisa do tipo revisão integrativa da literatura, na qual foram selecionados artigos nas bases de dados PubMed/Medline, LILACS, Science Direct e SciELO, durante o período de agosto de 2002 a agosto de 2022. Os resultados apontam que Uncaria tomentosa não é genotóxica, mas é citotóxica, tanto nas análises realizadas com seus extratos aquosos e hidroetanólico (água e etanol), quanto suas substâncias obtidas a partir do isolamento dos extratos como alcalóides e glicosídeos, avaliados em diversos modelos de estudo como células humanas não neoplásicas e neoplásicas, Drosophila melanogaster, células de ratos Wistar, células de camundongos e zebrafish (Danio rerio). Além de sua possível ação antimutagênica e antigenotóxica, apresentando atividade de proteção a danos ao DNA possivelmente relacionada com suas substâncias como alcalóides e glicosídeos presentes nos extratos que podem desempenhar papel antioxidante de maneira isolada ou com efeito sinérgico, combatendo os radicais livres. Portanto, Uncaria tomentosa apresenta um uso seguro quanto sua toxicidade.",7,0,"Research, Society and Development",None,None,2022-12-25,"Research, Society and Development",ffa8b920f8a89db000201b3ee9276d3bef7f6a86,"{""DOI"": ""10.33448/rsd-v11i17.38878"", ""CorpusId"": 255145976}",True,https://rsdjournal.org/index.php/rsd/article/download/38878/32222,gato,1
4,"Nuevos registros directos, hábitats y amenazas del gato de Geoffroy Leopardus geoffroyi (Carnivora: Felidae) en la zonas sur y austral de Chile","B. C. Guzmán Marín, Julio C. Hernández-Hernández, Natividad Olmos de Aguilera-Díaz","['B. C. Guzmán Marín', 'Julio C. Hernández-Hernández', 'Natividad Olmos de Aguilera-Díaz']",2022,https://www.semanticscholar.org/paper/0cca453a780c57e969538317faa471d5e2b8264b,"Reportamos cinco registros directos del gato de Geoffroy Leopardus geoffroyi, en las zonas sur y austral de Chile. Los registros se presentaron en diferentes hábitats, tanto en sitios con vegetación nativa y con presencia humana, en donde se presentan amenazas para su supervivencia. Adicionalmente, se consultó la literatura disponible publicada y bases de datos para corroborar los registros previos de esta especie en Chile. Los registros aquí reportados contribuyen a fortalecer la información sobre la distribución del gato de Geoffroy en Chile, sin embargo, es indispensable realizar más investigaciones con el fin de conocer su situación poblacional actual, amenazas y soluciones. ",3,0,Acta Zoológica Lilloana,None,None,2022-06-13,Acta Zoológica Lilloana,0cca453a780c57e969538317faa471d5e2b8264b,"{""DOI"": ""10.30550/j.azl/2022.66.1/2022-05-23"", ""CorpusId"": 249667120}",True,http://www.lillo.org.ar/journals/index.php/acta-zoologica-lilloana/article/download/1525/1661,gato,1
5,"Densidad de puma (Puma concolor) y gato montés (Lynx rufus) en la Reserva de la Biosfera Tehuacán-Cuicatlán, México","Cristina Nicté Vega-Flores, Verónica Farías-González","['Cristina Nicté Vega-Flores', 'Verónica Farías-González']",2021,https://www.semanticscholar.org/paper/cdeff03a4b479909a6610b51759a5309b4a6c365,"El puma ( Puma concolor ) coexiste con el gato montes ( Lynx rufus ) en la Reserva de la Biosfera Tehuacan-Cuicatlan (RBTC). El puma es el felino de mayor tamano en el centro de Mexico, por lo que su presencia es un indicador de integridad ecologica. Nuestro objetivo fue comparar la densidad de puma y de gato montes en una zona conservada dentro del area natural protegida. Colocamos 15 estaciones de fototrampeo a lo largo de la cima y de una canada del cerro Tepetroja, en selva baja caducifolia. Para estimar la densidad poblacional utilizamos modelos de captura-recaptura y analizamos las imagenes del 1 de mayo de 2013 al 30 abril de 2017 con el programa MARK y la herramienta CAPTURE. Para el puma obtuvimos una densidad de 6.8 ± 2.0 ind/100 km2 en un area efectiva de muestreo (“effective trapping area”, ETA) de 70 km2 y un promedio de distancia maxima de desplazamiento (“mean maximum distance moved”, MMDM) de 2.46 ± 0.45 km. Para el gato montes, nuestra estimacion de la densidad poblacional (15.4 ± 3.5 ind/100 km2 en ETA de 38 km2) y distancia de desplazamiento (MMDM = 1.76 ± 0.41 km) es la primera para el centro de Mexico en vegetacion nativa conservada. La abundancia de los pumas fue menor que la abundancia de los gatos monteses en la selva baja caducifolia de la reserva, por lo que inferimos que la densidad de los felinos silvestres esta determinada por su tamano corporal en un ecosistema que preserva su integridad ecologica.",4,73,Revista Mexicana de Biodiversidad,None,None,2021-09-13,Revista Mexicana de Biodiversidad,cdeff03a4b479909a6610b51759a5309b4a6c365,"{""MAG"": ""3200049877"", ""DOI"": ""10.22201/ib.20078706e.2021.92.3639"", ""CorpusId"": 240561062}",True,http://revista.ib.unam.mx/index.php/bio/article/download/3639/2244,gato,1
6,Síndrome cri du chat: un maullido del gato,Natalia Quesada Zaragoza,['Natalia Quesada Zaragoza'],2021,https://www.semanticscholar.org/paper/61741c246fc2429427949bb183ebc6bca1b02293,"El síndrome del maullido de gato es una enfermedad hereditaria rara que se caracteriza por el hecho de que el niño afectado, bebé lactante, tiene un llanto similar al maullido de un gato (grito de un gato = cri du chat). El síndrome del maullido de gato está causado por una alteración específica del material genético: la pérdida (deleción) de una parte de las estructuras filiformes del núcleo celular que portan el material genético (uno de los brazos de uno de los cromosomas: el brazo corto del cromosoma 5).
El maullido de gato puede caracterizarse por alteraciones físicas y psicomotoras ya que se ralentizan. Suelen tener un peso extremadamente bajo tras el parto. El apoyo físico y mental temprano es decisivo para estos niños. La voz de los niños con síndrome del maullido de gato suele diferenciarse más a medida que crecen y el desarrollo del lenguaje suele retrasarse considerablemente.",2,0,Revista Internacional de apoyo a la inclusión logopedia sociedad y multiculturalidad,None,None,2021-06-01,"Revista Internacional de apoyo a la inclusión, logopedia, sociedad y multiculturalidad",61741c246fc2429427949bb183ebc6bca1b02293,"{""MAG"": ""3165899874"", ""DOI"": ""10.17561/RIAI.V7.N2.6371"", ""CorpusId"": 236402052}",True,https://doi.org/10.17561/riai.v7.n2.6371,gato,1
7,GaTO: An Ontological Model to Apply Gamification in Intelligent Tutoring Systems,"Diego Dermeval, Josmário Albuquerque, I. Bittencourt, Seiji Isotani, Alan Silva, Julita Vassileva","['Diego Dermeval', 'Josmário Albuquerque', 'I. Bittencourt', 'Seiji Isotani', 'Alan Silva', 'Julita Vassileva']",2019,https://www.semanticscholar.org/paper/4acb8aed70949990eece15fff059b41e9620d3de,"Intelligent Tutoring Systems (ITSs) are concerned with the use of artificial intelligence techniques for performing adaptive tutoring to learners' according to what they know about the domain. Researchers are increasingly interested in applying gamification in e-learning systems to engage students and to drive desired learning behaviors. However, little attention has been drawn to the effective application of gamification in ITS, and how to connect theories of both concepts in a standard and formal way. Moreover, gamified ITS should manipulate a huge amount of knowledge regarding several models, i.e., gamification, domain, student and pedagogical models. Formally connecting such theories as well as representing system's knowledge relies on the use of ontologies. In this paper, we present an ontological model that connects gamification and ITS concepts. Our model takes advantage of ontologies to allow automated reasoning (e.g., on the domain, student, pedagogical or gamification models), to enable interoperability, and create awareness about theories and good practices for the designers of gamified ITS. To evaluate our model, we use an ontology evaluation method based on five knowledge representation roles. We also illustrate how it could support the development of an intelligent authoring tool to design gamified ITS.",35,63,Frontiers in Artificial Intelligence,"Computer Science, Medicine",JournalArticle,2019-07-31,Frontiers in Artificial Intelligence,4acb8aed70949990eece15fff059b41e9620d3de,"{""MAG"": ""2959434336"", ""DBLP"": ""journals/frai/DermevalABISV19"", ""PubMedCentral"": ""7861306"", ""DOI"": ""10.3389/frai.2019.00013"", ""CorpusId"": 198980855, ""PubMed"": ""33733102""}",True,https://www.frontiersin.org/articles/10.3389/frai.2019.00013/pdf,gato,1
8,"Gato, J. and Leal, D. and Coimbra, S. and Tasker, Fiona (2020) Anticipating parenthood among Lesbian, Gay, Bisexual, and Heterosexual young adults without children in Portugal: predictors and profiles. Frontiers in Psychology","Jorge Gato, Daniela Leal, S. Coimbra, F. Tasker","['Jorge Gato', 'Daniela Leal', 'S. Coimbra', 'F. Tasker']",2021,https://www.semanticscholar.org/paper/12ef225d41d0c572c6d8193309882bef3b125ab8,,2,98,,None,None,,,12ef225d41d0c572c6d8193309882bef3b125ab8,"{""CorpusId"": 231843334}",False,,gato,1
9,GATO: predicting human performance with multistroke and multitouch gesture input,"Luis A. Leiva, Daniel Martín-Albo, Radu-Daniel Vatavu","['Luis A. Leiva', 'Daniel Martín-Albo', 'Radu-Daniel Vatavu']",2018,https://www.semanticscholar.org/paper/a0b0ed2addf401f49e2bb9da7f5101c81f70a872,"We introduce GATO, a human performance analysis technique grounded in the Kinematic Theory that delivers accurate predictions for the expected user production time of stroke gestures of all kinds: unistrokes, multistrokes, multitouch, or combinations thereof. Our experimental results obtained on several public datasets (82 distinct gesture types, 123 participants, ≈36k gesture samples) show that GATO predicts user-independent gesture production times that correlate rs > .9 with groundtruth, while delivering an average relative error of less than 10% with respect to actual measured times. With its accurate estimations of users' a priori time performance with stroke gesture input, GATO will help researchers to understand better users' gesture articulation patterns on touchscreen devices of all kinds. GATO will also benefit practitioners to inform highly effective gesture set designs.",15,78,International Conference on Human-Computer Interaction with Mobile Devices and Services,Computer Science,"Book, JournalArticle, Conference",2018-09-03,Proceedings of the 20th International Conference on Human-Computer Interaction with Mobile Devices and Services,a0b0ed2addf401f49e2bb9da7f5101c81f70a872,"{""MAG"": ""2888540480"", ""DBLP"": ""conf/mhci/LeivaMV18"", ""DOI"": ""10.1145/3229434.3229478"", ""CorpusId"": 52096647}",False,,gato,1
10,Demodicose associada à Esporotricose e Pediculose em gato co-infectado por FIV/FeLV,"S. Pereira, T. M. Schubach, F. Figueiredo, L. R. Leme, I. B. Santos, T. Okamoto, T. Cuzzi, Rosani Santos Reis, A. Schubach","['S. Pereira', 'T. M. Schubach', 'F. Figueiredo', 'L. R. Leme', 'I. B. Santos', 'T. Okamoto', 'T. Cuzzi', 'Rosani Santos Reis', 'A. Schubach']",2018,https://www.semanticscholar.org/paper/efe086fd90962aa8c191e2269140d4bbe0b8d96e,"Demodicosis in an ectoparasitic disease caused by mites of the genus Demodex which rarely occurs in cats. The clinical signs of feline disease are nonspecific and there are extensive differential diagnoses. The generalized form is usuall y associated with infection with Feline Immunodeficiency virus (FIV) or Feline Leukemia virus (FeLV). Sporotrichosis is a mycosis caused by Sporothrix schenckii to which cats are highly susceptible, possibly playing an important role in disease transmission. Pediculosis is infestation with lice which in cats is usually determined by the species Felicola subrostratus. We report here a case of demodicosis associated with sporotrichosis and pediculosis involving an 8-year-old cat coinfected with FIV/FeLV. At first evaluation, the animal presented excoriations and skin ulcers, alopecia and cervical pruritus, dorsal desquamation, sneezing, and generalized adenitis. Sporotrichosis and pediculosis were first diagnosed by the demonstration of the respective etiologic agents, and infection with FIV and FeLV was detected in serum by an immunoenzymatic assay. Treatment with itraconazole, 50 mg daily by the oral route, and topical imidacloprid was started. After 30 days, pruritus persisted, associated with generalized erythema and the presence of Felicola subrostratus in the hair. After a new investigation, Demodex cati was detected by direct examination of a skin scraping and by histopathology. Oral treatment with ivermectin, 0.4 mg/kg daily, was started in combination with itraconazole and imidacloprid. Treatment was applied irregularly for 4 months and then abandoned. After 16 months, the patient returned for the last time, with clinical cure of pediculosis, demodicosis and sporotrichosis. The rare combination of different infections impaired treatment.",13,10,Acta Scientiae Veterinariae,"Biology, Medicine",None,2018-06-27,Acta Scientiae Veterinariae,efe086fd90962aa8c191e2269140d4bbe0b8d96e,"{""MAG"": ""2592077203"", ""DOI"": ""10.22456/1679-9216.14576"", ""CorpusId"": 78563664}",True,https://seer.ufrgs.br/ActaScientiaeVeterinariae/article/download/14576/8484,gato,1
