regiao,valor
Distrito Federal,100
Santa Catarina,73
Ceará,66
Tocantins,64
Mato Grosso do Sul,61
Pernambuco,60
Rondônia,59
Bahia,56
Goiás,56
Alagoas,55
São Paulo,54
Rio Grande do Sul,53
Pará,52
Paraná,52
Minas Gerais,52
Maranhão,52
Paraíba,50
Piauí,49
Amazonas,49
Rio Grande do Norte,48
