regiao,valor
Paraíba,100
Rio Grande do Norte,80
Minas Gerais,79
Rio de Janeiro,73
Goiás,70
Maranhão,69
Pernambuco,57
Paraná,54
São Paulo,50
Ceará,44
Bahia,43
Rio Grande do Sul,38
Santa Catarina,35
Pará,35
Roraima,0
Rondônia,0
Sergipe,0
Acre,0
Piauí,0
Alagoas,0
