rank,titulo,autores,autores_lista,data,data_completa,link,resumo,categorias,categorias_lista,arxiv_id,doi,comment,journal_ref,primary_category,updated,published_parsed,termo
1,Implementing BOLA-BASIC on Puffer: Lessons for the use of SSIM in ABR logic,"Emily Marx, Francis Y. Yan, Keith Winstein","[""Emily Marx"", ""Francis Y. Yan"", ""Keith Winstein""]",2020-11-19,2020-11-19T01:53:36Z,https://arxiv.org/abs/2011.09611v1,"One ABR algorithm implemented on Puffer is BOLA-BASIC, the simplest variant of BOLA. BOLA finds wide use in industry, notably in the MPEG-DASH reference player used as the basis for video players at Akamai, BBC, Orange, and CBS. The overall goal of BOLA is to maximize each encoded chunk's video quality while minimizing rebuffering. To measure video quality, Puffer uses the structural similarity metric SSIM, whereas BOLA and other ABR algorithms like BBA, MPC, and Pensieve are more commonly implemented using bitrate (or a variant of bitrate).
  While bitrate is frequently used, BOLA allows the video provider to define its own proxy of video quality as the algorithm's ""utility"" function. However, using SSIM as utility proved surprisingly complex for BOLA-BASIC, despite the algorithm's simplicity. Given the rising popularity of SSIM and related quality metrics, we anticipate that a growing number of Puffer-like systems will face similar challenges. We hope developers of such systems find our experiences informative as they implement algorithms designed with bitrate-based utility in mind.",cs.NI,"[""cs.NI""]",2011.09611v1,,,,cs.NI,2020-11-19T01:53:36Z,"[2020, 11, 19, 1, 53, 36, 3, 324, 0]",bola
2,BOLA: Near-Optimal Bitrate Adaptation for Online Videos,"Kevin Spiteri, Rahul Urgaonkar, Ramesh K. Sitaraman","[""Kevin Spiteri"", ""Rahul Urgaonkar"", ""Ramesh K. Sitaraman""]",2016-01-25,2016-01-25T20:08:13Z,https://arxiv.org/abs/1601.06748v3,"Modern video players employ complex algorithms to adapt the bitrate of the video that is shown to the user. Bitrate adaptation requires a tradeoff between reducing the probability that the video freezes (rebuffers) and enhancing the quality of the video. A bitrate that is too high leads to frequent rebuffering, while a bitrate that is too low leads to poor video quality. Video providers segment videos into short segments and encode each segment at multiple bitrates. The video player adaptively chooses the bitrate of each segment to download, possibly choosing different bitrates for successive segments. We formulate bitrate adaptation as a utility-maximization problem and devise an online control algorithm called BOLA that uses Lyapunov optimization to minimize rebuffering and maximize video quality. We prove that BOLA achieves a time-average utility that is within an additive term O(1/V) of the optimal value, for a control parameter V related to the video buffer size. Further, unlike prior work, BOLA does not require prediction of available network bandwidth. We empirically validate BOLA in a simulated network environment using a collection of network traces. We show that BOLA achieves near-optimal utility and in many cases significantly higher utility than current state-of-the-art algorithms. Our work has immediate impact on real-world video players and for the evolving DASH standard for video transmission. We also implemented an updated version of BOLA that is now part of the standard reference player dash.js and is used in production by several video providers such as Akamai, BBC, CBS, and Orange.",cs.NI,"[""cs.NI""]",1601.06748v3,10.1109/TNET.2020.2996964,"15 pages, 13 figures. Version 3 has updated notation, updated theoretical discussion, and more experimental results, in IEEE/ACM Transactions on Networking 2020",,cs.NI,2020-06-18T03:21:04Z,"[2016, 1, 25, 20, 8, 13, 0, 25, 0]",bola
3,Cloud Computing Concept and Roots,Bola Abimbola,"[""Bola Abimbola""]",2021-01-28,2021-01-28T17:42:46Z,https://arxiv.org/abs/2102.00981v2,"Cloud computing is a particular implementation of distributed computing. It inherited many properties of distributed computing such as scalability, reliability and distribution transparency. The transparency middle layer abstracts the underlying platform away from the end user. Virtualization technology is the foundation of Cloud computing. Virtual machine provides abstraction of the physical server resources and securely isolates different users in multi-tenant environment. To the Cloud services consumer, all the computing power and resources are accessed through high speed internet access by client platforms. This eliminates the cost to build and maintain local data center. Resource pooling and rapid elasticity are the main characters of Cloud computing. The scalability of Cloud computing comes from resources which can span multiple data centers and geographic regions. There is virtually no limitation on the amount of resources available from Cloud. New processing and storage resources can be added into the Cloud resource pool seamlessly.","cs.DC, cs.CY","[""cs.DC"", ""cs.CY""]",2102.00981v2,,,,cs.DC,2021-02-09T19:03:48Z,"[2021, 1, 28, 17, 42, 46, 3, 28, 0]",bola
4,Embedded Control System for Mobile Atom Interferometers,"Bola Malek, Zachary Pagel, Xuejian Wu, Holger Müller","[""Bola Malek"", ""Zachary Pagel"", ""Xuejian Wu"", ""Holger M\u00fcller""]",2018-12-03,2018-12-03T19:05:22Z,https://arxiv.org/abs/1812.01028v1,"Atom interferometers require precise control of digital, analog, and radio frequency signals for effective operation. In this paper, we propose and implement a control system for mobile atom interferometers. The system consists of a microcontroller and peripherals to synthesize radio frequency signals and to read or write analog signals. We use the system to operate a mobile atomic gravimeter by controlling 7 analog outputs, 16 digital outputs, 2 radio frequency channels, and 1 analog input. Our control system eliminates dead time between repetitions of the measurement and, consequently, improves the sampling rate of our atomic gravimeter by more than a factor of 2 and the sensitivity by more than a factor of $\sqrt{2}$ compared to the system based on a desktop computer.","physics.atom-ph, physics.ins-det","[""physics.atom-ph"", ""physics.ins-det""]",1812.01028v1,10.1063/1.5083981,,,physics.atom-ph,2018-12-03T19:05:22Z,"[2018, 12, 3, 19, 5, 22, 0, 337, 0]",bola
5,The influence of dark excitons on the electroabsorption spectrum of polyacetylene,"Jaspal Singh Bola, Ryan M. Stolley, Prashanna Poudel, Joel S. Miller, Christoph Boheme, Z. Valy Vardeny","[""Jaspal Singh Bola"", ""Ryan M. Stolley"", ""Prashanna Poudel"", ""Joel S. Miller"", ""Christoph Boheme"", ""Z. Valy Vardeny""]",2024-05-05,2024-05-05T17:38:54Z,https://arxiv.org/abs/2405.03012v1,"This study revisits the electroabsorption (EA) spectrum of polyacetylene, as functions of the electric field strength, isomerization degree, and light polarization states. The EA spectrum of $cis$-$(CH)_x$ reveals an oscillatory feature that follows the Stark shift-related first derivative of the materials absorption spectrum that contains v(0-1) and v(0-2) sidebands of the excited $C=C$ stretching vibration that agrees well with the Raman spectrum. EA spectrum of $trans $-$(CH)_x$ does not match the first derivative of the materials absorption spectrum, and the phonon sideband frequency does not agree with the RS spectrum. EA spectrum of $trans $-$(CH)_x$ reveals a band below the first allowed $1B_u$ exciton. We interpret this feature as due to the electric field activated even-parity dark (forbidden) exciton, namely $mA_g$ ($m >1$), showing that the nonluminescent $trans $-$(CH)_x$ is due to the reverse order of the excited states, where a dark $mA_g$ exciton lies below the allowed $1B_u$ exciton. This agrees with the unusual phonon sideband in $trans $-$(CH)_x$ absorption, since the excited state attenuation caused by the fast internal conversion from $1B_u$ to $mA_g$ influences the apparent frequency that determines the phonon sideband. Consequently, from the EA and RS spectra we estimate the $1B_u$ lifetime in $trans $-$(CH)_x$ to be $\sim 30$ fs. Integrated EA spectrum of $trans $-$(CH)_x$ shows a traditional Huang-Rhys type series with a relaxation parameter, $S \sim 0.5$. This indicates that the EA spectrum of the $trans $ isomer is also determined by a Stark shift related to the first derivative of the absorption spectrum, but preferentially for the longest chains in the films chain lengths distribution. This is due to the $N^3$ response of the non-linear susceptibility, $χ^{(3)}$ ($\sim$EA), dependence on the chain length having $N$ monomers.",cond-mat.other,"[""cond-mat.other""]",2405.03012v1,,,,cond-mat.other,2024-05-05T17:38:54Z,"[2024, 5, 5, 17, 38, 54, 6, 126, 0]",bola
6,"FTS Measurements of Submillimeter-Wave Atmospheric Opacity at Pampa la Bola III. Water Vapor, Liquid Water, and 183 GHz Water Vapor Line Opacities","Satoki Matsushita, Hiroshi Matsuo","[""Satoki Matsushita"", ""Hiroshi Matsuo""]",2003-02-03,2003-02-03T03:49:26Z,https://arxiv.org/abs/astro-ph/0302016v1,"Further analysis has been made on the millimeter and submillimeter-wave (100-1600 GHz or 3 mm - 188 micron) atmospheric opacity data taken with the Fourier Transform Spectrometer (FTS) at Pampa la Bola, 4800 m above sea level in northern Chile, which is the site of the Atacama Large Millimeter/submillimeter Array (ALMA). Time-sequence plots of millimeter and submillimeter-wave opacities show similar variations to each other, except for during the periods with liquid water (fog or clouds) in the atmosphere. Using millimeter and submillimeter-wave opacity correlations under two conditions, which are affected and not affected by liquid water, we succeeded to separate the measured opacity into water vapor and liquid water opacity components. The water vapor opacity shows good correlation with the 183 GHz water vapor line opacity, which is also covered in the measured spectra. On the other hand, the liquid water opacity and the 183 GHz line opacity show no correlation. Since only the water vapor component is expected to affect the phase of interferometers significantly, and the submillimeter-wave opacity is less affected by the liquid water component, it may be possible to use the submillimeter-wave opacity for a phase-correction of submillimeter interferometers.",astro-ph,"[""astro-ph""]",0302016v1,10.1093/pasj/55.1.325,"10 pages, 5 figures, PASJ, vol.55, no.1 (2003), in press",Publ.Astron.Soc.Jap. 55 (2003) 325-333,astro-ph,2003-02-03T03:49:26Z,"[2003, 2, 3, 3, 49, 26, 0, 34, 0]",bola
7,Determination of Inter-Phase Line Tension in Langmuir Films,"J. R. Wintersmith, L. Zou, A. J. Bernoff, J. C. Alexander, J. A. Mann, E. E. Kooijman, E. K. Mann","[""J. R. Wintersmith"", ""L. Zou"", ""A. J. Bernoff"", ""J. C. Alexander"", ""J. A. Mann"", ""E. E. Kooijman"", ""E. K. Mann""]",2007-03-15,2007-03-15T07:07:14Z,https://arxiv.org/abs/cond-mat/0703394v2,"A Langmuir film is a molecularly thin film on the surface of a fluid; we study the evolution of a Langmuir film with two co-existing fluid phases driven by an inter-phase line tension and damped by the viscous drag of the underlying subfluid. Experimentally, we study an 8CB Langmuir film via digitally-imaged Brewster Angle Microscopy (BAM) in a four-roll mill setup which applies a transient strain and images the response. When a compact domain is stretched by the imposed strain, it first assumes a bola shape with two tear-drop shaped reservoirs connected by a thin tether which then slowly relaxes to a circular domain which minimizes the interfacial energy of the system. We process the digital images of the experiment to extract the domain shapes. We then use one of these shapes as an initial condition for the numerical solution of a boundary-integral model of the underlying hydrodynamics and compare the subsequent images of the experiment to the numerical simulation. The numerical evolutions first verify that our hydrodynamical model can reproduce the observed dynamics. They also allow us to deduce the magnitude of the line tension in the system, often to within 1%. We find line tensions in the range of 200-600 pN; we hypothesize that this variation is due to differences in the layer depths of the 8CB fluid phases.",cond-mat.soft,"[""cond-mat.soft""]",0703394v2,10.1103/PhysRevE.75.061605,See (http://www.math.hmc.edu/~ajb/bola/) for related movies,,cond-mat.soft,2007-07-01T00:11:46Z,"[2007, 3, 15, 7, 7, 14, 3, 74, 0]",bola
8,Early deafness leads to re-shaping of global functional connectivity beyond the auditory cortex,"Kamil Bonna, Karolina Finc, Maria Zimmermann, Łukasz Bola, Piotr Mostowski, Maciej Szul, Paweł Rutkowski, Włodzisław Duch, Artur Marchewka, Katarzyna Jednoróg, Marcin Szwed","[""Kamil Bonna"", ""Karolina Finc"", ""Maria Zimmermann"", ""\u0141ukasz Bola"", ""Piotr Mostowski"", ""Maciej Szul"", ""Pawe\u0142 Rutkowski"", ""W\u0142odzis\u0142aw Duch"", ""Artur Marchewka"", ""Katarzyna Jednor\u00f3g"", ""Marcin Szwed""]",2019-03-28,2019-03-28T12:27:32Z,https://arxiv.org/abs/1903.11915v1,"Early sensory deprivation such as blindness or deafness shapes brain development in multiple ways. While it is established that deprived brain areas start to be engaged in the processing of stimuli from the remaining modalities and in high-level cognitive tasks, some reports have also suggested the possibility of structural and functional changes in non-deprived brain areas. We compared resting-state functional network organization of the brain in early-deaf adults and hearing controls by examining global network segregation and integration. Relative to hearing controls, deaf adults exhibited an altered modular organization, with regions of the salience network coupled with the fronto-parietal network. They showed weaker connections between auditory and somatomotor regions, stronger coupling between the fronto-parietal network and several other large-scale networks (visual, memory, cingulo-opercular and somatomotor), and an enlargement of the default mode network. Their overall functional segregation of brain networks was also lower. Our findings suggest that brain plasticity in deaf adults is not limited to changes in auditory cortex but additionally alters the coupling between other large-scale networks. These widespread functional connectivity changes may provide a mechanism for the superior behavioral performance of the deaf in visual and attentional tasks.",q-bio.NC,"[""q-bio.NC""]",1903.11915v1,,,,q-bio.NC,2019-03-28T12:27:32Z,"[2019, 3, 28, 12, 27, 32, 3, 87, 0]",bola
9,Risk Quantification Associated with Wind Energy Intermittency in California,"Sam O. George, H. Bola George, Scott V. Nguyen","[""Sam O. George"", ""H. Bola George"", ""Scott V. Nguyen""]",2010-02-14,2010-02-14T03:47:47Z,https://arxiv.org/abs/1002.2749v1,"As compared to load demand, frequent wind energy intermittencies produce large short-term (sub 1-hr to 3-hr) deficits (and surpluses) in the energy supply. These intermittent deficits pose systemic and structural risks that will likely lead to energy deficits that have significant reliability implications for energy system operators and consumers. This work provides a toolset to help policy makers quantify these first-order risks. The thinking methodology / framework shows that increasing wind energy penetration significantly increases the risk of loss in California. In addition, the work presents holistic risk tables as a general innovation to help decision makers quickly grasp the full impact of risk.","stat.AP, physics.soc-ph","[""stat.AP"", ""physics.soc-ph""]",1002.2749v1,,"8 pages, 6 figures, 3 tables",,stat.AP,2010-02-14T03:47:47Z,"[2010, 2, 14, 3, 47, 47, 6, 45, 0]",bola
10,Effect of Wind Intermittency on the Electric Grid: Mitigating the Risk of Energy Deficits,"Sam O. George, H. Bola George, Scott V. Nguyen","[""Sam O. George"", ""H. Bola George"", ""Scott V. Nguyen""]",2010-02-10,2010-02-10T23:42:09Z,https://arxiv.org/abs/1002.2243v1,"Successful implementation of California's Renewable Portfolio Standard (RPS) mandating 33 percent renewable energy generation by 2020 requires inclusion of a robust strategy to mitigate increased risk of energy deficits (blackouts) due to short time-scale (sub 1 hour) intermittencies in renewable energy sources. Of these RPS sources, wind energy has the fastest growth rate--over 25% year-over-year. If these growth trends continue, wind energy could make up 15 percent of California's energy portfolio by 2016 (wRPS15). However, the hour-to-hour variations in wind energy (speed) will create large hourly energy deficits that require installation of other, more predictable, compensation generation capacity and infrastructure. Compensating for the energy deficits of wRPS15 could potentially cost tens of billions in additional dollar-expenditure for fossil and / or nuclear generation capacity. There is a real possibility that carbon dioxide and other greenhouse gas (GHG) emission reductions will miss the California Assembly Bill 32 (CA AB 32) target by a wide margin once the wRPS15 compensation system is in place. This work presents a set of analytics tools that show the impact of short-term intermittencies to help policy makers understand and plan for wRPS15 integration. What are the right policy choices for RPS that include wind energy?","stat.AP, physics.ao-ph, physics.data-an, physics.soc-ph, stat.CO, stat.ML","[""stat.AP"", ""physics.ao-ph"", ""physics.data-an"", ""physics.soc-ph"", ""stat.CO"", ""stat.ML""]",1002.2243v1,,"8 pages, 12 figures",,stat.AP,2010-02-10T23:42:09Z,"[2010, 2, 10, 23, 42, 9, 2, 41, 0]",bola
