title,developer,rating,installs,id
UX Research Course- ProApp,ProApp - Learn Design,,1.000+,app.design.learn.ux.research.courses.online.ui.user.experience.personas.usability.testing.analysis.market.qualitative
"Uxcel: Learn UX design, PM, AI",Uxcel,4.4,100.000+,com.uxcel.app
UX Design for Mobile Course,ProApp - Learn Design,,1.000+,app.design.learn.mobileuxdesign.proapp.course.online.apps.android.ios.coursera.udemy.skillshare.ui.ux.interface
UX/UI Hub,Vitamina K,4.2,1.000+,design.vitaminak.uxevents.A01F2XM4K2XDKVKGPK9RQT7PRNF
ProApp : Learn UX UI Design,ProApp - Learn Design,4.4,100.000+,app.design.learn
UX Design Course - ProApp,ProApp - Learn Design,5.0,10.000+,app.design.learn.uxdesign.proapp.course.online.coursera.udemy.ui.ux.userexperience.researcher.interface.website.lean
A Voz da Zueira - Texto em Voz,Bruno Piovan,4.6,10.000.000+,com.brunopiovan.avozdazueira
Pocket Option,Pocket Investments LLC,4.3,5.000.000+,com.pocketoption.broker
Learn Ocean Animals for kids,Kokotots Inc,3.4,100.000+,com.kokotots.ocean
"UXNESS - UX Design, UX Course",UXness,,1.000+,com.uxness.app
