termo_pesquisa,regiao,idioma,data_coleta,timestamp,modo,versao_script,fonte,rank,about_this_result,ad_supported,age,allow_forking,ano,app_id,archived,arxiv_id,atualizado,author,autores,autores_lista,avaliacoes,caption,categoria,categoria_id,categorias,categorias_lista,category_id,channel,channel_custom_url,channel_description,channel_id,citacoes,cliente,clone_url,comment,comment_text,comments,contains_ads,content,content_rating,coordinates,created,created_at_i,criado,currency,data,data_completa,date,default_audio_language,default_branch,default_language,definition,descricao,description,desenvolvedor,desenvolvedor_id,dir,disabled,dislikes,displayed_link,doi,duration,engine,estrelas,external_ids,extract_html,family_friendly,favorites,fields_of_study,fonte_suggest,fork,forks,forks_url,free,has_downloads,has_issues,has_pages,has_projects,has_wiki,homepage,icon,image,instalacoes,is_open_access,is_template,journal,journal_ref,lang,language,licenca,licenca_spdx,likes,linguagem,link,live_broadcast_content,meta_desc,meta_url,metodo,nome,num_points,object_id,open_access_pdf,open_issues,order,originalimage,originalimage_height,originalimage_width,owner,owner_avatar,owner_type,owner_url,pais,paper_id,parent_id,position,preco,primary_category,private,publication_date,publication_types,published,published_parsed,pushed_at,referencias,released,relevancia,relevancy_score,resumo,score,screenshots,sectiontitle,sitelinks,size,snippet,source,source_url,story_id,story_text,story_title,story_url,sugestao,summary,tags,tamanho,tentativa,termo,termo_original,thumbnail,thumbnail_default,thumbnail_height,thumbnail_high,thumbnail_maxres,thumbnail_width,tipo,title,titlesnippet,titulo,topics,updated,url,url_mobile,venue,version,video_id,views,visibility,watchers,web_commit_signoff_required,wordcount
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,SERP-Brave,1,,,"July 11, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brave,,,,True,,,,,,,,,,,,,,,,,,,,,,pt,,,,,https://www.mercadobitcoin.com.br/criptomoedas/bitcoin,,,www.mercadobitcoin.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O Bitcoin <strong>é a primeira criptomoeda descentralizada do mundo</strong>, criada em 2009 por um desenvolvedor (ou grupo) sob o pseudônimo de Satoshi Nakamoto.",,,,,,,,,,,1.0,bitcoin,,,,,,,,,"Cotação do Bitcoin | Preço, gráfico e valor do BTC hoje | MB",,,,,,,,,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,SERP-Brave,2,,,3 weeks ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brave,,,,True,,,,,,,,,,,,,,,,,,,,,,pt,,,,,https://br.investing.com/crypto/bitcoin,,,br.investing.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O Bitcoin <strong>é uma criptomoeda descentralizada baseada em blockchain, sem necessidade de intermediários</strong>. A criptografia e o consenso da rede de mineradores que validam as transações garantem a segurança do Bitcoin.",,,,,,,,,,,1.0,bitcoin,,,,,,,,,Cotação Bitcoin Hoje e Preço (BTC) - Investing.com,,,,,,,,,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,SERP-Brave,3,,,1 week ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brave,,,,True,,,,,,,,,,,,,,,,,,,,,,en,,,,,https://en.wikipedia.org/wiki/Bitcoin,,,en.wikipedia.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin (abbreviation: BTC; sign: ₿) is <strong>the first decentralized cryptocurrency</strong>. Based on a free-market ideology, bitcoin was invented in 2008 when an unknown entity published a white paper under the pseudonym of Satoshi Nakamoto. Use of bitcoin as a currency began in 2009, with the release ...",,,,,,,,,,,1.0,bitcoin,,,,,,,,,Bitcoin - Wikipedia,,,,,,,,,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,SERP-Brave,4,,,4 weeks ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brave,,,,True,,,,,,,,,,,,,,,,,,,,,,en,,,,,https://br.tradingview.com/symbols/BTCUSD/,,,br.tradingview.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Just one more step · Complete the test below to access the page,,,,,,,,,,,1.0,bitcoin,,,,,,,,,BTC USD — Preço e Gráfico do Bitcoin,,,,,,,,,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,SERP-Brave,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brave,,,,True,,,,,,,,,,,,,,,,,,,,,,pt,,,,,https://bitcoin.org/pt_BR/,,,bitcoin.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bitcoin usa a tecnologia ponto-a-ponto para operar sem a necessidade de uma autoridade central ou banco; as transações com <strong>bitcoin</strong>s são gerenciadas coletivamente pelos usuários da rede.O Bitcoin é código aberto, seu design é público, ninguém é proprietário ou controla o Bitcoin e qualquer um pode participar.",,,,,,,,,,,1.0,bitcoin,,,,,,,,,Bitcoin - Dinheiro P2P de código aberto,,,,,,,,,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,SERP-Brave,6,,,"December 15, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brave,,,,True,,,,,,,,,,,,,,,,,,,,,,pt,,,,,https://www.mercadobitcoin.com.br/,,,www.mercadobitcoin.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Abrir sua conta no Mercado Bitcoin é simples, rápido e gratuito.",,,,,,,,,,,1.0,bitcoin,,,,,,,,,Sua plataforma de investimentos digitais | Mercado Bitcoin,,,,,,,,,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,SERP-Brave,7,,,3 weeks ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brave,,,,True,,,,,,,,,,,,,,,,,,,,,,pt,,,,,https://www.binance.com/pt-BR/price/bitcoin,,,www.binance.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<strong>O preço atual do Bitcoin é de $94,632.79</strong> com uma capitalização de mercado de $1,874.43B USD. Confira o preço atual, o volume de trading, o histórico do gráfico e muito mais.",,,,,,,,,,,1.0,bitcoin,,,,,,,,,"Preço do Bitcoin | Conversor de BTC para USD, Gráfico e notícias",,,,,,,,,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,SERP-Brave,8,,,4 days ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brave,,,,True,,,,,,,,,,,,,,,,,,,,,,pt,,,,,https://www.moneytimes.com.br/bitcoin-btc-fisico-vale-quase-r-1-bilhao-e-lacre-e-aberto-apos-13-anos-isbl/,,,www.moneytimes.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Duas moedas físicas criadas em 2011 e 2012, quando o <strong>bitcoin</strong> valia centavos, reaparecem e somam R$ 975 milhões",,,,,,,,,,,1.0,bitcoin,,,,,,,,,Bitcoin (BTC) ‘físico’ vale quase R$ 1 bilhão e lacre é aberto após 13 anos – Money Times,,,,,,,,,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,SERP-Brave,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brave,,,,True,,,,,,,,,,,,,,,,,,,,,,pt,,,,,https://coinmarketcap.com/pt-br/currencies/bitcoin/,,,coinmarketcap.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O Bitcoin <strong>é uma moeda digital ponto a ponto</strong>, o que significa que toda transação ocorre diretamente entre as partes iguais e independentes, sem a necessidade de nenhum intermediário para permitir ou facilitar.",,,,,,,,,,,1.0,bitcoin,,,,,,,,,"Bitcoin (BTC) Preço, Gráfico, Capitalização de Mercado | CoinMarketCap",,,,,,,,,,,,,,
bitcoin,br,pt,2025-12-12 04:37:35,2025-12-12T04:37:35.327468,personalizado,7.4,SERP-Brave,10,,,1 week ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brave,,,,True,,,,,,,,,,,,,,,,,,,,,,pt,,,,,https://www.cnnbrasil.com.br/economia/mercado/mergulho-do-bitcoin-pode-ser-mal-pressagio-para-o-mercado-de-acoes/,,,www.cnnbrasil.com.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O Bitcoin caiu 7% nas últimas 24 horas, despencando de pouco menos de US$ 92.000 para aproximadamente US$ 85 mil nesta segunda-feira (1º) mais cedo.",,,,,,,,,,,1.0,bitcoin,,,,,,,,,Mergulho do bitcoin pode ser mau presságio para o mercado de ações | CNN Brasil,,,,,,,,,,,,,,
