query,value
bitcoin hoje,100
bitcoin dolar,30
fed bitcoin,23
bitcoin agora,13
bitcoin cotacao,13
bitcoin hoje dólar,12
bitcoin previsão,12
bitcoin usd,11
noticias bitcoin,10
bitcoin strategy,7
ethereum,6
bitcoin hoje usd,5
