title,developer,rating,installs,id
"Bipa - Cartão, Pix & Bitcoin",Bipa,4.7,500.000+,
"PicPay: Conta, Cartão e Pix",PicPay,4.7,100.000.000+,com.picpay
Mercado Pago: banco digital,Mercado Libre,4.8,100.000.000+,com.mercadopago.wallet
"Inter: Conta, Cartão e Pix",Banco Inter SA,4.8,50.000.000+,br.com.intermedium
"Nubank: conta, cartão e mais",Nu,4.7,100.000.000+,com.nu.production
"BB: Banco, Conta, Pix, Cartão",Banco do Brasil SA,4.7,100.000.000+,br.com.bb.android
Wise,Wise Payments Ltd.,4.9,10.000.000+,com.transferwise.android
"PagBank Banco, Cartão e Conta",PagBank,4.9,50.000.000+,br.com.uol.ps.myaccount
Binance: Compre BTC e Cripto,Binance Inc.,4.8,100.000.000+,com.binance.dev
Revolut: conta e cartão global,Revolut Ltd,4.6,50.000.000+,com.revolut.revolut
