rank,title,link,video_id,channel,channel_id,published,description,views,likes,dislikes,comments,favorites,duration,definition,caption,tags,category_id,default_language,default_audio_language,live_broadcast_content,thumbnail_default,thumbnail_high,thumbnail_maxres,channel_custom_url,channel_description,regiao,idioma,termo,order
1,Esta Noche de Travesuras (feat. Héctor &quot;El Father&quot;),https://www.youtube.com/watch?v=E02NBXm9r9k,E02NBXm9r9k,DJ Nelson - Topic,UCkwiJQbXLRA5SQBW5-zpyPw,2020-04-08T01:01:47Z,"Provided to YouTube by Cinq Music

Esta Noche de Travesuras (feat. Héctor ""El Father"") · Dj Nelson

Flow Music Presenta: Flow la Discoteka

℗ 2004 NelFlow Inc., under exclusive license to Cinq Music Group, LLC

Released on: 2004-03-02

Auto-generated by YouTube.",137503432,638541,0,1516,0,PT3M33S,hd,false,"Dj Nelson, Flow Music Presenta: Flow la Discoteka, Esta Noche de Travesuras (feat. Héctor ""El Father"")",10,es,es,none,https://i.ytimg.com/vi/E02NBXm9r9k/default.jpg,https://i.ytimg.com/vi/E02NBXm9r9k/hqdefault.jpg,https://i.ytimg.com/vi/E02NBXm9r9k/maxresdefault.jpg,,,br,pt,hector,viewCount
2,Hector Acosta - Amorcito Enfermito (Official Video),https://www.youtube.com/watch?v=RfTcYeNdZHY,RfTcYeNdZHY,Hector Acosta,UCQtHFrktATGxDoYRzoqXtmQ,2016-12-21T14:00:01Z,"Hector Acosta ""El Torito"" Presenta
Amorcito Enfermito (Video Oficial)

Merengue y Sentimiento Disponible YA!
https://hyperurl.co/o4dg7a

(c) & (p) D.A.M. Production, Inc.",119240465,492356,0,11562,0,PT3M54S,hd,false,"Hector Acosta El Torito, Merengue, Y Sentimiento, Amorcito Enfermito, Romeo Santos, Bachata, 2016, 2017, NEW, Latin, Latino, Music, Video",10,es,es,none,https://i.ytimg.com/vi/RfTcYeNdZHY/default.jpg,https://i.ytimg.com/vi/RfTcYeNdZHY/hqdefault.jpg,https://i.ytimg.com/vi/RfTcYeNdZHY/maxresdefault.jpg,,,br,pt,hector,viewCount
3,"Quizas si,Quizas no ...Los Toros Band (Hector Acosta)",https://www.youtube.com/watch?v=ANbxbbK9i5A,ANbxbbK9i5A,DrxamyLxis,UCXbpwYVYFwBozrPJmY-qjRQ,2010-01-06T20:11:18Z,una linda bachata antigua,101163197,278644,0,5731,0,PT4M31S,sd,false,"quizas si quizas no bachata, hector acosta los toros band, bachata antigua, jacky1523",22,es,es,none,https://i.ytimg.com/vi/ANbxbbK9i5A/default.jpg,https://i.ytimg.com/vi/ANbxbbK9i5A/hqdefault.jpg,,,,br,pt,hector,viewCount
4,Hector Lavoe - El Cantante (salsa),https://www.youtube.com/watch?v=BNo0vkEYWRc,BNo0vkEYWRc,Fania Records,UC8ZpFsxodudZcJRBLq6aQTA,2014-11-13T15:32:29Z,"Listen to Hector Lavoe - Live: https://found.ee/hectorlavoe-live-album
Shop the Fania Records store for merch, vinyl, and more: https://found.ee/fania-store 

Hector Lavoe's ""El Cantante"" was originally released on the album ""Comedia"" in 1978  and was composed by Ruben Blades.

La Canción ""El Cantante"" de Hector Lavoe salió al mercado por primera vez en el álbum ""Comedia"" en 1978, y fue compuesta por Ruben Blades.

#HectorLavoe #ElCantante

-----------------------------------------------------------------

**Sígue/Follow Fania Records**
Facebook: https://found.ee/faniarecordsFB
Instagram: https://found.ee/faniarecordsIG
YouTube: https://found.ee/faniarecordsYT
Twitter: https://found.ee/faniarecordsTwitter
TikTok: https://found.ee/faniarecordsTikTok
Newsletter: https://found.ee/fania-subscribe-newsletter-lat

Subscribe to our new dance channel Fania Presents: We Love To See You Dance: https://found.ee/Fania-DanceChannel-YouTube-Lat",98508884,360052,0,10410,0,PT10M53S,hd,false,"salsa dura, El Cantante (Musical Recording), salsa musica, salsa mix, INDMUSIC, Héctor Lavoe (Composer), salsa brava, Dance Music (Musical Genre), fania all stars, kids dancing, latin music, musica latina, salsa, ruben blades, new york salsa, salsa para bailar, puerto rican music, hector lavoe, la fania, el cantante",10,es,es,none,https://i.ytimg.com/vi/BNo0vkEYWRc/default.jpg,https://i.ytimg.com/vi/BNo0vkEYWRc/hqdefault.jpg,https://i.ytimg.com/vi/BNo0vkEYWRc/maxresdefault.jpg,,,br,pt,hector,viewCount
5,Felina,https://www.youtube.com/watch?v=p_-eHLhdF_0,p_-eHLhdF_0,Hector & Tito - Topic,UCtzdpN7r8sD8L18phYR2M5A,2018-07-29T22:26:13Z,"Provided to YouTube by Universal Music Group

Felina · Hector & Tito

Season Finale

℗ 2002 VI Music

Released on: 2005-01-01

Composer Lyricist: Héctor ""El Father""
Composer Lyricist: Efrain Fines Nevares

Auto-generated by YouTube.",97876933,406409,0,405,0,PT3M38S,hd,false,"Hector & Tito, エクトールアンドティト, エクトール＆ティト, Season Finale, Felina",10,en,es,none,https://i.ytimg.com/vi/p_-eHLhdF_0/default.jpg,https://i.ytimg.com/vi/p_-eHLhdF_0/hqdefault.jpg,https://i.ytimg.com/vi/p_-eHLhdF_0/maxresdefault.jpg,,,br,pt,hector,viewCount
6,Juanito Alimaña,https://www.youtube.com/watch?v=LrVjKqXjjpM,LrVjKqXjjpM,Héctor Lavoe - Topic,UCqT_XfFbiIGUAU1I8XLnjog,2019-05-31T23:27:11Z,"Provided to YouTube by Universal Music Group

Juanito Alimaña · Héctor Lavoe · Willie Colón

Vigilante

℗ 1982 Craft Recordings, a division of Concord Music Group, Inc.

Released on: 1982-01-01

Chorus, Associated Performer, Producer, Recording Producer: Willie Colón
Producer, Recording Producer: Jon Fausty
Vocals, Associated Performer: Héctor Lavoe
Conga, Associated Performer, Chorus: Milton Cardona
Bass Guitar, Associated Performer: Sal Cuevas
Associated Performer: Leopoldo Pineda
Associated Performer: Lewis Kahn
Associated Performer: Johnny Almendra
Associated Performer: Jimmy Delgado
Associated Performer: Joe Torres
Composer Lyricist: C. Alonso Curet

Auto-generated by YouTube.",91352331,401153,0,2775,0,PT7M37S,hd,false,"Héctor Lavoe, エクトルラボー, エクトル・ラボー, Willie Colón, ウィリーコローン, ウィリー・コローン, Vigilante, Juanito Alimaña",10,en,es,none,https://i.ytimg.com/vi/LrVjKqXjjpM/default.jpg,https://i.ytimg.com/vi/LrVjKqXjjpM/hqdefault.jpg,https://i.ytimg.com/vi/LrVjKqXjjpM/maxresdefault.jpg,,,br,pt,hector,viewCount
7,Héctor &quot;El Father&quot; - Payaso,https://www.youtube.com/watch?v=-Ws8CEU2Ljk,-Ws8CEU2Ljk,HectorElFatherVEVO,UCyPjJEfjM7OQ7sJD-9UDP3w,2009-10-07T05:54:51Z,Music video by Hector El Father performing Payaso. (C) 2008 Machete Music,83962753,505266,0,15918,0,PT4M38S,sd,false,"Hector, Father, Music, Latin, Urban, Reggaeton",10,es,es,none,https://i.ytimg.com/vi/-Ws8CEU2Ljk/default.jpg,https://i.ytimg.com/vi/-Ws8CEU2Ljk/hqdefault.jpg,https://i.ytimg.com/vi/-Ws8CEU2Ljk/maxresdefault.jpg,,,br,pt,hector,viewCount
8,Perdóname la Vida,https://www.youtube.com/watch?v=O9-98z8rf40,O9-98z8rf40,Hector Acosta - Topic,UCRh6irlVo-tRGBd7LNaZiNQ,2018-04-05T10:01:36Z,"Provided to YouTube by The Orchard Enterprises

Perdóname la Vida · HECTOR ACOSTA ""EL TORITO""

The Ultimate Bachata Collection

℗ 2010 D.A.M. Production, Inc.

Released on: 2018-04-06

Auto-generated by YouTube.",62151034,228862,0,2168,0,PT4M28S,hd,false,"HECTOR, ACOSTA, EL TORITO, The, Ultimate, Bachata, Collection, Perdóname, la, Vida",10,en,es,none,https://i.ytimg.com/vi/O9-98z8rf40/default.jpg,https://i.ytimg.com/vi/O9-98z8rf40/hqdefault.jpg,https://i.ytimg.com/vi/O9-98z8rf40/maxresdefault.jpg,,,br,pt,hector,viewCount
9,El Día de Mi Suerte   Hector Lavoe,https://www.youtube.com/watch?v=LXExea8k57M,LXExea8k57M,Luis Arcadio Riascos Capera,UCVhn_vQKJDKgRc3ZvA8GU_w,2018-03-17T21:06:02Z,,59494934,341389,0,7696,0,PT5M25S,hd,false,,10,es,es,none,https://i.ytimg.com/vi/LXExea8k57M/default.jpg,https://i.ytimg.com/vi/LXExea8k57M/hqdefault.jpg,https://i.ytimg.com/vi/LXExea8k57M/maxresdefault.jpg,,,br,pt,hector,viewCount
10,Hector Lavoe - Escarcha,https://www.youtube.com/watch?v=Zi0aQ4PVAdI,Zi0aQ4PVAdI,Fania Records,UC8ZpFsxodudZcJRBLq6aQTA,2015-03-26T19:43:11Z,"Subscribe to Fania: https://found.ee/fania-subscribe-yt-lat
Fania newsletter: https://found.ee/fania-subscribe-newsletter-lat

Hector Lavoe ""Escarcha"" was originally released on the album ""Strikes Back"" in 1987 and was composed by Tommy Sanchez.

La Canción ""Escarcha"" de Hector Lavoe salió al mercado por primera vez en el álbum ""Strikes Back"" en 1987, y fue compuesta por Tommy Sanchez.

Consigue el Album aqui/Find the album here:
http://www.fania.com/products/strikes-back

Siguenos/Follow us:
Facebook: https://www.facebook.com/FaniaRecords
Twitter: https://twitter.com/Faniamusic
Instagram: http://instagram.com/faniarecords

No te olvides de suscribirte/Don’t forget to subscribe at https://www.youtube.com/user/Faniavideos",53777410,150037,0,3588,0,PT7M4S,hd,false,"puerto rican music, jibarito, musica, Music (TV Genre), dancing to salsa, Salsa (Interest), boricua, Puerto Rico (Country), salsa music, fania all stars, Escarcha (Musical Recording), salsa, new york salsa, bailar, salsa brava, armada fania, salsa dura, Héctor Lavoe (Composer), INDMUSIC, bailando",10,es,es,none,https://i.ytimg.com/vi/Zi0aQ4PVAdI/default.jpg,https://i.ytimg.com/vi/Zi0aQ4PVAdI/hqdefault.jpg,https://i.ytimg.com/vi/Zi0aQ4PVAdI/maxresdefault.jpg,,,br,pt,hector,viewCount
