rank,titulo,url,url_mobile,resumo,extract_html,thumbnail,thumbnail_width,thumbnail_height,originalimage,originalimage_width,originalimage_height,lang,dir,timestamp,description,coordinates,snippet,size,wordcount,titlesnippet,sectiontitle,termo,idioma
1,Hector,https://pt.wikipedia.org/wiki/Hector,https://pt.wikipedia.org/wiki/Hector,"Hector ou Héctor pode referir-se a:Hector (Arkansas)
Hector (Minnesota)","<p><b>Hector</b> ou <b>Héctor</b> pode referir-se a:</p><ul><li>Hector (Arkansas)</li>
<li>Hector (Minnesota)</li></ul>",,0,0,,0,0,pt,ltr,2023-01-10T12:31:59Z,página de desambiguação de um projeto da Wikimedia,,"<span class=""searchmatch"">Hector</span> ou <span class=""searchmatch"">Héctor</span> pode referir-se a: <span class=""searchmatch"">Hector</span> (Arkansas) <span class=""searchmatch"">Hector</span> (Minnesota) Todas as páginas cujo título começa por &quot;<span class=""searchmatch"">Hector</span>&quot; Todas as páginas que tenham &quot;Hector&quot;",168,49,,,hector,pt
2,Héctor Babenco,https://pt.wikipedia.org/wiki/H%C3%A9ctor_Babenco,https://pt.wikipedia.org/wiki/H%C3%A9ctor_Babenco,"Héctor Eduardo Babenco OMC foi um cineasta argentino naturalizado brasileiro de ascendência judaico-ucraniana. Foi diretor de filmes como Pixote, a Lei do Mais Fraco e Carandiru, além de O Beijo da Mulher Aranha, pelo qual recebeu a indicação ao Oscar de melhor direção em 1986.","<p><b>Héctor Eduardo Babenco</b> <small>OMC</small> foi um cineasta argentino naturalizado brasileiro de ascendência judaico-ucraniana. Foi diretor de filmes como <i>Pixote, a Lei do Mais Fraco</i> e <i>Carandiru</i>, além de <i>O Beijo da Mulher Aranha</i>, pelo qual recebeu a indicação ao Oscar de melhor direção em 1986.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/H%C3%A9ctor_Babenco.jpg/330px-H%C3%A9ctor_Babenco.jpg,320,488,https://upload.wikimedia.org/wikipedia/commons/a/a1/H%C3%A9ctor_Babenco.jpg,1181,1801,pt,ltr,2025-10-30T02:33:27Z,,,"<span class=""searchmatch"">Héctor</span> Eduardo Babenco OMC (Mar del Plata, 7 de fevereiro de 1946 — São Paulo, 13 de julho de 2016) foi um cineasta argentino naturalizado brasileiro de",7484,554,,,hector,pt
3,Tigre Branco (Hector Ayala),https://pt.wikipedia.org/wiki/Tigre_Branco_(Hector_Ayala),https://pt.wikipedia.org/wiki/Tigre_Branco_(Hector_Ayala),"Tigre Branco é um personagem fictício que aparece nos quadrinhos americanos publicados pela Marvel Comics. O personagem é o primeiro a usar o nome Tigre Branco e foi criado por Bill Mantlo e George Pérez. Um porto-riquenho, Tigre Branco foi o primeiro personagem principal latino-americano na história dos quadrinhos americanos e o primeiro super-herói hispânico da Marvel. O primeiro membro de sua família a ostentar o manto, Hector é tio de Angela del Toro e irmão de Ava Ayala.","<p><b>Tigre Branco</b> é um personagem fictício que aparece nos quadrinhos americanos publicados pela Marvel Comics. O personagem é o primeiro a usar o nome Tigre Branco e foi criado por Bill Mantlo e George Pérez. Um porto-riquenho, Tigre Branco foi o primeiro personagem principal latino-americano na história dos quadrinhos americanos e o primeiro super-herói hispânico da Marvel. O primeiro membro de sua família a ostentar o manto, Hector é tio de Angela del Toro e irmão de Ava Ayala.</p>",,0,0,,0,0,pt,ltr,2025-10-26T07:23:26Z,,,"Tigre Branco ( <span class=""searchmatch"">Hector</span> Ayala ) é um personagem fictício que aparece nos quadrinhos americanos publicados pela Marvel Comics . O personagem é o primeiro",24004,3015,,,hector,pt
4,Senhor Destino,https://pt.wikipedia.org/wiki/Senhor_Destino,https://pt.wikipedia.org/wiki/Senhor_Destino,"Senhor Destino é o nome de vários super-heróis fictício legados que aparecem nas histórias em quadrinhos americanas publicadas pela DC Comics. A primeira versão foi originalmente criada pelo escritor Gardner Fox e pelo artista Howard Sherman, e estreou em More Fun Comics #55. Pelo menos oito pessoas diferentes serviram como encarnações do personagem dentro do Universo DC convencional, exceto por uma versão alternativa criada recentemente com o mesmo nome da última iteração e sua contraparte DC Rebirth, com cada nova versão tentando revigorar o personagem para o público contemporâneo.","<p><b>Senhor Destino</b> é o nome de vários super-heróis fictício legados que aparecem nas histórias em quadrinhos americanas publicadas pela DC Comics. A primeira versão foi originalmente criada pelo escritor Gardner Fox e pelo artista Howard Sherman, e estreou em <i>More Fun Comics</i> #55. Pelo menos oito pessoas diferentes serviram como encarnações do personagem dentro do Universo DC convencional, exceto por uma versão alternativa criada recentemente com o mesmo nome da última iteração e sua contraparte DC Rebirth, com cada nova versão tentando revigorar o personagem para o público contemporâneo.</p>",,0,0,,0,0,pt,ltr,2025-12-05T02:21:49Z,,,"contrabandista Jared Stevens, a reencarnação do filho de Hawkman e Hawkgirl, <span class=""searchmatch"">Hector</span> Hall, e o ex- psiquiatra Kent V. Nelson. Embora não tenha atingido os mesmos",41606,5709,,,hector,pt
5,Héctor José Hernández Marrero,https://pt.wikipedia.org/wiki/H%C3%A9ctor_Jos%C3%A9_Hern%C3%A1ndez_Marrero,https://pt.wikipedia.org/wiki/H%C3%A9ctor_Jos%C3%A9_Hern%C3%A1ndez_Marrero,Héctor José Hernández Marrero é um futebolista espanhol que atua como centroavante. Joga pelo Corinthians.,<p><b>Héctor José Hernández Marrero</b> é um futebolista espanhol que atua como centroavante. Joga pelo Corinthians.</p>,,0,0,,0,0,pt,ltr,2025-09-10T08:11:02Z,futebolista espanhol,,"<span class=""searchmatch"">Héctor</span> José Hernández Marrero (Las Palmas, 14 de setembro de 1995) é um futebolista espanhol que atua como centroavante. Joga pelo Corinthians. Natural",7756,532,,,hector,pt
6,Héctor Fort,https://pt.wikipedia.org/wiki/H%C3%A9ctor_Fort,https://pt.wikipedia.org/wiki/H%C3%A9ctor_Fort,"Héctor Fort García é um futebolista espanhol que atua como lateral-direito no Elche, emprestado pelo Barcelona.","<p><b>Héctor Fort García</b> é um futebolista espanhol que atua como lateral-direito no Elche, emprestado pelo Barcelona.</p>",,0,0,,0,0,pt,ltr,2025-12-09T23:48:50Z,futebolista espanhol,,"<span class=""searchmatch"">Héctor</span> Fort García (Barcelona, 2 de agosto de 2006) é um futebolista espanhol que atua como lateral-direito no Elche, emprestado pelo Barcelona. Revelado",7390,546,,,hector,pt
7,Héctor Bonilla,https://pt.wikipedia.org/wiki/H%C3%A9ctor_Bonilla,https://pt.wikipedia.org/wiki/H%C3%A9ctor_Bonilla,Héctor Bonilla Rebentun foi um ator e político mexicano.,<p><b>Héctor Bonilla Rebentun</b> foi um ator e político mexicano.</p>,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Hector_Bonilla_3_%28cropped%29.jpg/330px-Hector_Bonilla_3_%28cropped%29.jpg,320,480,https://upload.wikimedia.org/wikipedia/commons/d/d6/Hector_Bonilla_3_%28cropped%29.jpg,800,1199,pt,ltr,2025-04-08T20:13:12Z,ator mexicano (1939–2022),,"<span class=""searchmatch"">Héctor</span> Bonilla Rebentun (Cidade do México, 14 de março de 1939 – Cidade do México, 25 de novembro de 2022) foi um ator e político mexicano. <span class=""searchmatch"">Héctor</span> Bonilla",10545,505,,,hector,pt
8,Coco (filme),https://pt.wikipedia.org/wiki/Coco_(filme),https://pt.wikipedia.org/wiki/Coco_(filme),"Coco é um filme musical de animação computadorizada norte-americano de 2017, produzido pela Pixar Animation Studios e distribuído pela Walt Disney Studios Motion Pictures.
Baseado em uma ideia original de Lee Unkrich, o longa-metragem animado é dirigido por Unkrich e codirigido por Adrian Molina. A história é sobre um garoto de 12 anos chamado Miguel Rivera que acidentalmente é transportado para o mundo dos mortos, onde procura pela ajuda de seu tataravô músico para que ele o leve de volta para a sua família no mundo dos vivos.","<p><i><b>Coco</b></i> é um filme musical de animação computadorizada norte-americano de 2017, produzido pela Pixar Animation Studios e distribuído pela Walt Disney Studios Motion Pictures.
Baseado em uma ideia original de Lee Unkrich, o longa-metragem animado é dirigido por Unkrich e codirigido por Adrian Molina. A história é sobre um garoto de 12 anos chamado Miguel Rivera que acidentalmente é transportado para o mundo dos mortos, onde procura pela ajuda de seu tataravô músico para que ele o leve de volta para a sua família no mundo dos vivos.</p>",https://upload.wikimedia.org/wikipedia/pt/a/ae/Cocofilme.png,310,461,https://upload.wikimedia.org/wikipedia/pt/a/ae/Cocofilme.png,310,461,pt,ltr,2025-10-30T18:17:23Z,filme de 2017 dirigido por Lee Unkrich,,"encontrando <span class=""searchmatch"">Héctor</span>, um esqueleto malandro e de pouca sorte que no passado chegou a ser parceiro musical de Ernesto. Miguel mente para <span class=""searchmatch"">Héctor</span> dizendo que",79609,8421,,,hector,pt
9,Héctor Bellerín,https://pt.wikipedia.org/wiki/H%C3%A9ctor_Beller%C3%ADn,https://pt.wikipedia.org/wiki/H%C3%A9ctor_Beller%C3%ADn,Héctor Bellerín Moruno é um futebolista espanhol que atua como lateral-direito. Atualmente joga no Betis.,<p><b>Héctor Bellerín Moruno</b> é um futebolista espanhol que atua como lateral-direito. Atualmente joga no Betis.</p>,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/1_hector_bellerin_2015.jpg/330px-1_hector_bellerin_2015.jpg,320,483,https://upload.wikimedia.org/wikipedia/commons/6/62/1_hector_bellerin_2015.jpg,1709,2579,pt,ltr,2025-09-12T13:51:08Z,futebolista espanhol,,"<span class=""searchmatch"">Héctor</span> Bellerín Moruno (Barcelona, 19 de março de 1995) é um futebolista espanhol que atua como lateral-direito. Atualmente joga no Betis. Nascido em Barcelona",16659,1438,,,hector,pt
10,Fluminense Football Club,https://pt.wikipedia.org/wiki/Fluminense_Football_Club,https://pt.wikipedia.org/wiki/Fluminense_Football_Club,"Fluminense Football Club é um clube multidesportivo brasileiro sediado no bairro de Laranjeiras, localizado na Zona Sul da cidade do Rio de Janeiro, capital do estado homônimo. Fundado em 21 de julho de 1902, tem como principal atividade o futebol, mandando suas partidas no Maracanã. Disputa o Campeonato Carioca, a principal liga estadual do Rio de Janeiro, bem como o Campeonato Brasileiro, principal liga do Brasil.","<p><b>Fluminense Football Club</b> é um clube multidesportivo brasileiro sediado no bairro de Laranjeiras, localizado na Zona Sul da cidade do Rio de Janeiro, capital do estado homônimo. Fundado em 21 de julho de 1902, tem como principal atividade o futebol, mandando suas partidas no Maracanã. Disputa o Campeonato Carioca, a principal liga estadual do Rio de Janeiro, bem como o Campeonato Brasileiro, principal liga do Brasil.</p>",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Fluminense_Football_Club.svg/langpt-330px-Fluminense_Football_Club.svg.png,320,370,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Fluminense_Football_Club.svg/langpt-500px-Fluminense_Football_Club.svg.png,382,442,pt,ltr,2025-12-05T10:46:46Z,agremiação poliesportiva brasileira,,"em 18 de maio de 2017 [ligação inativa]  DE SÁ, Edgar Maciel e WERLANG, <span class=""searchmatch"">Hector</span> (15 de setembro de 2017). «Flu Samorin lança nova camisa e escudo nesta",157603,19485,,,hector,pt
