rank,sugestao,categoria,relevancia,tipo,termo_original,regiao,cliente,fonte_suggest
1,hector bonilla,a-z,602,QUERY,hector,br,chrome,web
2,hector babenco,a-z,601,QUERY,hector,br,chrome,web
3,hector pizzaria,a-z,600,QUERY,hector,br,chrome,web
4,hector salamanca,a-z,561,QUERY,hector,br,chrome,web
5,hector fort,a-z,560,QUERY,hector,br,chrome,web
6,hector boligrafo,a-z,559,QUERY,hector,br,chrome,web
7,hector baldassi,a-z,558,QUERY,hector,br,chrome,web
8,hector hernandez,a-z,557,QUERY,hector,br,chrome,web
9,hector pizzaria gramado,a-z,556,QUERY,hector,br,chrome,web
10,hector gramado,a-z,555,QUERY,hector,br,chrome,web
11,hector estrada dexter,a-z,554,QUERY,hector,br,chrome,web
12,hector bonilla chaves,a-z,553,QUERY,hector,br,chrome,web
13,hector hammond,a-z,552,QUERY,hector,br,chrome,web
14,hector cuper,a-z,551,QUERY,hector,br,chrome,web
15,hector lavoe,a-z,550,QUERY,hector,br,chrome,web
