rank,title,link,source,source_url,published,description,image,content,termo,idioma,pais,metodo
1,PC Oliveira aponta erro capital da arbitragem em Palmeiras x Flamengo,https://www.lance.com.br/fora-de-campo/pc-oliveira-aponta-erro-capital-da-arbitragem-em-palmeiras-x-flamengo.html,LANCE,https://www.lance.com.br,2025-11-29T22:00:17Z,Comandando o apito em Palmeiras x Flamengo está o árbitro Dario Herrera (ARG) e na operação do VAR Héctor Paletta (ARG).,"https://lncimg.lance.com.br/cdn-cgi/image/width=1280,height=720,quality=75,fit=cover,format=webp/uploads/2025/11/pc-oliveira-3-aspect-ratio-512-320-7.jpg","Uma entrada forte de Erick Pulgar, volante do Flamengo, na canela de Bruno Fuchs, zagueiro do Palmeiras, levantou uma grande polêmica de arbitragem na final. O jogador do Flamengo foi advertido somente com um cartão amarelo e o árbitro Dario Herrera ... [1664 chars]",hector,pt,br,api
2,Justiça de GO mantém condenação de médico que mostrou pênis a pacientes,https://www.metropoles.com/colunas/mirelle-pinheiro/justica-de-go-mantem-condenacao-de-medico-que-mostrou-penis-a-pacientes,Metrópoles,https://www.metropoles.com,2025-11-13T21:08:21Z,O ginecologista Hector Javier atendia em Planaltina de Goiás quando foi denunciado por abusar sexualmente de duas acidentes,https://uploads.metroimg.com/wp-content/uploads/2024/09/03105841/medico2-5.jpg,"O Tribunal de Justiça de Goiás (TJGO) manteve a condenação do médico ginecologista Hector Javier Lozano Galindo (foto em destaque) por violação sexual mediante fraude. Conforme o Metrópoles noticiou em setembro do ano passado, ele é acusado de abusar... [2819 chars]",hector,pt,br,api
