rank,sugestao,categoria,relevancia,tipo,termo_original,regiao,cliente,fonte_suggest
1,hector plasma,a-z,1250,QUERY,hector,br,chrome,yt
2,hector lavoe,a-z,700,QUERY,hector,br,chrome,yt
3,hector el father,a-z,601,QUERY,hector,br,chrome,yt
4,hector bonilla,a-z,600,QUERY,hector,br,chrome,yt
5,hector marks,a-z,560,QUERY,hector,br,chrome,yt
6,hector boligrafo,a-z,559,QUERY,hector,br,chrome,yt
7,hector salamanca,a-z,558,QUERY,hector,br,chrome,yt
8,hector fort,a-z,557,QUERY,hector,br,chrome,yt
9,hector y tito,a-z,556,QUERY,hector,br,chrome,yt
10,hector bonilla chaves,a-z,555,QUERY,hector,br,chrome,yt
11,hector pizzaria gramado,a-z,554,QUERY,hector,br,chrome,yt
12,hector hernandez,a-z,553,QUERY,hector,br,chrome,yt
13,hector e tito,a-z,552,QUERY,hector,br,chrome,yt
14,hector gramado,a-z,551,QUERY,hector,br,chrome,yt
15,hector fuentes,a-z,550,QUERY,hector,br,chrome,yt
