autor,comentario,likes,publicado_em,video_id,video_titulo
@chiefofdesign,"Aprenda UX/UI Design - Seja um  EXPERT
➡ http://cursouidesign.com.br/",0,2022-05-06T17:22:36Z,TPLKxzN_Tiw,O que é UX Research? O que faz o UX Researcher?
@SoaresGaucho,0:30 Ouch! Sério? Bom saber!,1,2024-04-10T20:20:27Z,TPLKxzN_Tiw,O que é UX Research? O que faz o UX Researcher?
@priscilamendes7127,o que preciso para ser um ux researcher,1,2022-08-16T16:03:23Z,TPLKxzN_Tiw,O que é UX Research? O que faz o UX Researcher?
@brunatie3925,Amei! Super direto e explicativo.,1,2022-06-01T12:54:05Z,TPLKxzN_Tiw,O que é UX Research? O que faz o UX Researcher?
@1991fla,"Você explica de forma clara, gostei de encontrar esse vídeo explicando sobre essa área de uma forma simples e fácil de entender. Muito obrigada! Sucesso em sua carreira.",0,2025-09-26T23:41:07Z,De8__snPgbA,UX Research na Prática - Michelle Kato
@comeceiaos40,"Na boa, sou publicitário há 20 anos e todos os processos com nomes bonitos e internacionalizados que vejo hoje em dia, são processos que já existem desde o início da propaganda. Ux research é apenas pesquisa de mercado, que se vem feita acessa todas as camadas das informações. Interface de usuário é apenas o design em sua essência, que atende as necessidades da campanha. Experiência de usuário é apenas o fruto do briefing trazido pela contexto atualização dos dados obtidos pela pesquisa de mercado. Toda essa americanização da nossa área, parece que foi feita para um monte de Enzo se achar “cool” enquanto faz a mesma coisa que já é feita há décadas, ainda se sentindo um gênio. O mais importante de tudo, que pra mim também é o mais bizarro é essa suposta empatia na qual é pautada às atividades destas áreas, que quero dizer com isso é que antigamente Não lidávamos com “usuários “ mas sim com Clientes. Portanto, o que vemos hoje é uma releitura quase que na íntegra de processos absurdamente antigos, que datam quase que do início da própria área de comunicação. As ferramentas em si podem ser até mais virtuais mas as respostas que elas trazem são as mesmas trazidas por processos antigosbem realizados. Então se você que tá aí querendo mudar de área ou achando que surgiu algo novo, vai estudar os cases antigos antes de mais nada.",0,2025-06-20T15:35:46Z,De8__snPgbA,UX Research na Prática - Michelle Kato
@gessicademorais4298,gratidão,0,2025-05-12T19:46:51Z,De8__snPgbA,UX Research na Prática - Michelle Kato
@biancamathias4777,amei o conteúdo! Muito obrigada!,0,2025-02-06T17:56:21Z,De8__snPgbA,UX Research na Prática - Michelle Kato
@Ana-up6qz,Excelente!!!!,1,2024-05-04T05:49:22Z,De8__snPgbA,UX Research na Prática - Michelle Kato
@JonathanGomes,"Muito bom, parabéns demais pelo projeto, passou inspiração!",1,2024-03-22T21:33:10Z,De8__snPgbA,UX Research na Prática - Michelle Kato
