videoId,titulo,descricao,canal,publicado_em,link
TPLKxzN_Tiw,O que é UX Research? O que faz o UX Researcher?,Curso de UX e Research Essencial ➡ https://bit.ly/ux-research-essencial. Curso de UX/UI Design ...,Chief of Design,2022-02-26T16:45:58Z,https://www.youtube.com/watch?v=TPLKxzN_Tiw
De8__snPgbA,UX Research na Prática - Michelle Kato,"O workshop de hoje foi ministrado pela Luber Michelle Kato, que aborda as práticas de UX Research. UX Research é a ...",Luby,2021-10-14T14:30:01Z,https://www.youtube.com/watch?v=De8__snPgbA
82V4cpzDlw0,UX Research do Zero: Como Coletar Dados Reais e Criar Experiências Impactantes,É muito importante as empresas entenderem como a pesquisa do usuário é parte fundamental da estruturação de bons produtos ...,DesignTeam,2019-06-24T12:39:31Z,https://www.youtube.com/watch?v=82V4cpzDlw0
C6urHjGxRE4,GUIA PRÁTICO DE UX RESEARCH. COM DIANA FOURNIER,Este episódio também está disponível no formato Podcast no Spotify e Soundcloud. Este episódio é um guia com valiosas dicas ...,UXlab Design,2019-04-13T18:22:36Z,https://www.youtube.com/watch?v=C6urHjGxRE4
H_mbB-uYxYw,O que é UX Research?,"Vamos explorar o que é UX Research, sua importância no design de produtos e como ele pode melhorar a experiência do ...",Chief of Design,2025-04-25T19:10:00Z,https://www.youtube.com/watch?v=H_mbB-uYxYw
Dqp07aptOss,Como se tornar UX Designer em 2025.,GUIA COMPLETO COMEÇAR EM UX DESIGN: https://www.aprenderux.com.br/guiauxdesginer MENTORIA EM GRUPO ...,Alvaro Souza,2025-01-09T13:51:08Z,https://www.youtube.com/watch?v=Dqp07aptOss
y8U0BTrp5rg,UX Research Overview | Episódio 4: Métodos e técnicas de pesquisas,"No quarto episódio da nossa série, a Lady Gonzaga (UX Research, Raia Drogasil), vai explicar um pouco mais sobre entrevistas ...",How Education,2022-09-06T21:02:53Z,https://www.youtube.com/watch?v=y8U0BTrp5rg
kQ_6faxhyIw,What is UX Research? | Google UX Design Certificate,The goal of UX research is to prioritize the user and help bridge the gap between what a business thinks the user needs and what ...,Google Career Certificates,2021-04-07T13:00:15Z,https://www.youtube.com/watch?v=kQ_6faxhyIw
R7urbI0iqb0,10 Years of UX Research Experience in 4.5 hours - Ultimate Crash Course,This is the ultimate UX Research Crash Course to end all UX research crash courses. I've spent the past 10 years as a UX ...,Kevin Liang | Zero to UX,2024-10-08T16:00:05Z,https://www.youtube.com/watch?v=R7urbI0iqb0
R6tYOgMAgh4,COMO CRIAR PERSONAS A PARTIR DE PESQUISA E INTELIGÊNCIA ARTIFICIAL – UX Research e I.A.,"Uma persona é basicamente uma pessoa imaginária criada a partir da observação de vários humanos, onde se combina um ...",Rian Dutra | Design From Human,2024-03-22T01:18:27Z,https://www.youtube.com/watch?v=R6tYOgMAgh4
psvMjCWgro8,"Cursos Gratuitos UX Design, UX Research e Figma!",GUIA COMPLETO COMEÇAR EM UX DESIGN: https://www.aprenderux.com.br/guiauxdesginer 1. Curso UX Design Cubos ...,Alvaro Souza,2023-01-23T15:00:34Z,https://www.youtube.com/watch?v=psvMjCWgro8
bAARmsv1tms,UX Research - Get Started With Qualitative User Research (2023),Curious about a career in UX Design? Book a call with a program advisor: https://bit.ly/3HwYAZc User research is a vital part of ...,CareerFoundry,2021-10-08T15:17:00Z,https://www.youtube.com/watch?v=bAARmsv1tms
alKQLJ6gzcw,"5 Brutal Facts About UX Research (Nobody Tells You, But I Will)","Hey friends, are you considering a career in UX Research? Curious about what is like being a UX Researcher in REALITY?",Qianology,2024-02-22T03:37:00Z,https://www.youtube.com/watch?v=alKQLJ6gzcw
