"query","value"
"rio de janeiro fotos","100"
"mapa rio de janeiro","93"
"rio de janeiro praia","90"
"cidade rio de janeiro","66"
"fotos do rio de janeiro","54"
"rio de janeiro cristo","52"
"mapa do rio de janeiro","51"
"rio de janeiro copacabana","49"
"copacabana","49"
"rio de janeiro cristo redentor","41"
"praia do rio de janeiro","40"
"sao paulo","38"
"estado do rio de janeiro","37"
"são paulo","37"
"cidade do rio de janeiro","36"
"carnaval rio de janeiro","32"
"rio de janeiro praias","32"
"bandeira rio de janeiro","30"
"imagens do rio de janeiro","29"
"rio de janeiro favela","27"
