"regiao","valor"
"Rio de Janeiro","100"
"Distrito Federal","18"
"Espírito Santo","18"
"Minas Gerais","16"
"Sergipe","14"
"São Paulo","14"
"Mato Grosso","13"
"Rio Grande do Norte","13"
"Mato Grosso do Sul","13"
"Goiás","12"
"Paraíba","12"
"Pará","12"
"Bahia","12"
"Rio Grande do Sul","12"
"Amazonas","12"
"Santa Catarina","11"
"Alagoas","11"
"Paraná","11"
"Ceará","10"
"Pernambuco","10"
