"regiao","valor"
"Rio de Janeiro","100"
"Espírito Santo","12"
"Distrito Federal","11"
"Minas Gerais","10"
"São Paulo","9"
"Bahia","8"
"Paraná","7"
"Mato Grosso","7"
"Pará","7"
"Paraíba","7"
"Goiás","7"
"Santa Catarina","7"
"Ceará","7"
"Sergipe","7"
"Rondônia","6"
"Rio Grande do Norte","6"
"Rio Grande do Sul","6"
"Acre","6"
"Piauí","6"
"Pernambuco","6"
