"query","value"
"tempo rio de janeiro","100"
"hotel rio de janeiro","58"
"passagem rio de janeiro","55"
"onibus rio de janeiro","42"
"jogo do bicho rio de janeiro","41"
"previsão do tempo rio de janeiro","41"
"jogo do bicho do rio de janeiro","41"
"resultado do bicho rio de janeiro","34"
"resultado do bicho do rio de janeiro","34"
"clima rio de janeiro","34"
"resultado do jogo do bicho rio de janeiro","32"
"resultado do jogo do bicho do rio de janeiro","32"
"resultado jogo do bicho rio de janeiro","30"
"prefeitura rio de janeiro","28"
"passagem para rio de janeiro","26"
"olx rio de janeiro","23"
"prefeitura do rio de janeiro","21"
"mapa rio de janeiro","20"
"tempo no rio de janeiro","19"
"tribunal de justiça do rio de janeiro","18"
