"query","value"
"portal zacarias rio de janeiro 28 de outubro","6000"
"iptu rio de janeiro 2025","4250"
"portal zacarias rio de janeiro","3100"
"operação rio de janeiro","1400"
"operacao rio de janeiro","1150"
"lady gaga rio de janeiro","1150"
"feriados rio de janeiro 2025","350"
"guerra no rio de janeiro","250"
"quem nasce no estado do rio de janeiro é","110"
"governador do rio de janeiro","50"
