"query","value"
"mapa rio de janeiro","100"
"rio de janeiro mortos","84"
"rio de janeiro hoje","83"
"rio de janeiro operação","82"
"rio de janeiro praia","78"
"rio de janeiro cidade","75"
"rio de janeiro estado","60"
"mapa do rio de janeiro","56"
"estado do rio de janeiro","51"
"mortos no rio de janeiro","50"
"foto do rio de janeiro","50"
"rio de janeiro corpos","49"
"são paulo","49"
"portal zacarias rio de janeiro","48"
"bandeira rio de janeiro","45"
"rio de janeiro favela","43"
"copacabana","42"
"copacabana rio de janeiro","42"
"fotos do rio de janeiro","42"
"praia do rio de janeiro","35"
