"regiao","valor"
"Rio de Janeiro","100"
"Espírito Santo","12"
"Distrito Federal","11"
"Minas Gerais","11"
"Bahia","10"
"Goiás","9"
"Pará","8"
"Amapá","8"
"São Paulo","8"
"Acre","7"
"Sergipe","7"
"Santa Catarina","7"
"Roraima","7"
"Rio Grande do Sul","7"
"Paraná","7"
"Paraíba","7"
"Mato Grosso","7"
"Ceará","7"
"Amazonas","7"
"Pernambuco","6"
