"query","value"
"portal zacarias rio de janeiro","156400"
"corpos no rio de janeiro","86900"
"operação rio de janeiro mortos","76200"
"operacao rio de janeiro","64450"
"rio de janeiro mega operação","39000"
"mortos no rio de janeiro hoje","31250"
"japinha do cv portal zacarias rio de janeiro","24250"
"megaoperação no rio de janeiro","19100"
"climatempo rio de janeiro 15 dias","13050"
"cabeça na arvore rio de janeiro","12250"
"portal zacarias rio de janeiro complexo do alemão","8800"
"previsão do tempo para amanhã no rio de janeiro","8750"
"rio de janeiro corpos","7950"
"quem nasce no estado do rio de janeiro é","6700"
"catedral metropolitana do rio de janeiro","5950"
"pôr do sol hoje rio de janeiro","5900"
"mortos no rio de janeiro","3500"
"rio de janeiro mortos","3100"
"operação no rio de janeiro","2400"
"rio de janeiro operação","1100"
