"regiao","valor"
"Rio de Janeiro","100"
"Distrito Federal","10"
"Espírito Santo","10"
"Minas Gerais","10"
"São Paulo","8"
"Amapá","7"
"Bahia","7"
"Paraíba","7"
"Pará","7"
"Acre","6"
"Piauí","6"
"Sergipe","6"
"Santa Catarina","6"
"Roraima","6"
"Rondônia","6"
"Rio Grande do Norte","6"
"Paraná","6"
"Mato Grosso do Sul","6"
"Mato Grosso","6"
"Maranhão","6"
