"query","value"
"olx rio de janeiro","112800"
"g1 rio de janeiro","55700"
"covid rio de janeiro","35400"
"clima em rio de janeiro","24600"
"airbnb rio de janeiro","17450"
"coronavirus rio de janeiro","17150"
"climatempo rio de janeiro","15500"
"resultado do bicho rio de janeiro","10150"
"resultado do bicho do rio de janeiro","9300"
"jogo do bicho rio de janeiro","8600"
"gta rio de janeiro","8450"
"resultado do jogo do bicho do rio de janeiro","8000"
"resultado do jogo do bicho rio de janeiro","7800"
"roda gigante rio de janeiro","7150"
"jogo do bicho do rio de janeiro","7000"
"resultado jogo do bicho rio de janeiro","3950"
"clima tempo rio de janeiro","3700"
"clima rio de janeiro","1900"
"previsão do tempo rio de janeiro","1550"
"passagem para rio de janeiro","1300"
