"query","value"
"show dua lipa rio de janeiro","600"
"dua lipa rio de janeiro","450"
"segunda via iptu rio de janeiro","130"
"feriados 2026 rio de janeiro","110"
"passagem para rio de janeiro","90"
"voo rio de janeiro","90"
"detran rio de janeiro","80"
"passagem rio de janeiro ônibus","80"
"cep rio de janeiro","80"
"onibus sao paulo rio de janeiro","80"
"iptu rio de janeiro","80"
"resultado do rio de janeiro","70"
"passagem rio de janeiro","70"
"prefeitura rio de janeiro","70"
"enel rio de janeiro","70"
"resultado do jogo do bicho de hoje do rio de janeiro","70"
"resultado do jogo do bicho ao vivo do rio de janeiro","70"
"passagem de onibus rio de janeiro","70"
"airbnb rio de janeiro","70"
"passagem aerea rio de janeiro","70"
