"query","value"
"tempo rio de janeiro","100"
"passagem rio de janeiro","49"
"rio de janeiro hoje","47"
"previsão do tempo rio de janeiro","46"
"resultado do rio de janeiro","35"
"jogo do bicho rio de janeiro","32"
"jogo do bicho do rio de janeiro","32"
"rio de janeiro clima","30"
"resultado do bicho do rio de janeiro","28"
"hotel rio de janeiro","27"
"resultado jogo do bicho rio de janeiro","25"
"resultado do jogo do bicho rio de janeiro","25"
"resultado do jogo do bicho do rio de janeiro","25"
"passagem para rio de janeiro","21"
"cep rio de janeiro","17"
"voo rio de janeiro","16"
"prefeitura rio de janeiro","15"
"tempo no rio de janeiro","14"
"clima tempo rio de janeiro","12"
"climatempo rio de janeiro","12"
