"query","value"
"tempo rio de janeiro","100"
"previsão do tempo rio de janeiro","49"
"passagem rio de janeiro","47"
"rio de janeiro hoje","47"
"resultado do rio de janeiro","35"
"rio de janeiro clima","32"
"hotel rio de janeiro","32"
"jogo do bicho rio de janeiro","32"
"jogo do bicho do rio de janeiro","31"
"resultado do bicho do rio de janeiro","29"
"resultado do jogo do bicho do rio de janeiro","26"
"resultado do jogo do bicho rio de janeiro","25"
"resultado jogo do bicho rio de janeiro","25"
"passagem para rio de janeiro","19"
"cep rio de janeiro","16"
"rio de janeiro temperatura","15"
"prefeitura rio de janeiro","15"
"voo rio de janeiro","15"
"tempo no rio de janeiro","14"
"campo grande rio de janeiro","14"
