"regiao","valor"
"Rio de Janeiro","100"
"Espírito Santo","20"
"Minas Gerais","20"
"Distrito Federal","19"
"Goiás","19"
"Amazonas","16"
"Bahia","16"
"Acre","15"
"São Paulo","15"
"Mato Grosso do Sul","14"
"Roraima","14"
"Sergipe","14"
"Mato Grosso","14"
"Rio Grande do Norte","14"
"Ceará","14"
"Rio Grande do Sul","14"
"Santa Catarina","13"
"Rondônia","13"
"Paraná","13"
"Piauí","13"
