"query","value"
"previsão do tempo rio de janeiro","600"
"aquario rio de janeiro","500"
"parque lage rio de janeiro","160"
"arraial do cabo rio de janeiro","140"
"rio de janeiro desenho","110"
"tatuagem rio de janeiro","90"
"buzios rio de janeiro","80"
"wallpaper rio de janeiro","80"
"paraty rio de janeiro","60"
"santa teresa rio de janeiro","40"
