rank,titulo,autores,ano,link,resumo
1,Cultural Literacy in Indonesian Language Learning for Foreign Speakers (BIPA): Overcoming Barriers and Fostering Language Proficiency with Cross-Cultural Understanding Issues,"R. Tiawati, Maya Dewi Kurnia, Nazriani Nazriani, Witri Annisa, S. Harahap",2024,https://www.semanticscholar.org/paper/8707800af64b7ea119e372d9882051c105b222ac,"This study explores the main challenges in teaching Indonesian language (BIPA) in international classrooms, particularly addressing the limited knowledge of Indonesian culture that learners encounter in BIPA. Another significant challenge is the constraint of materials and teaching strategies relate"
2,Internationalization of Indonesian culinary in learning Indonesian for foreign speakers (BIPA) in United States students,"K. Saddhono, Wati Istanti, Anik Kusmiatun, Dewi Kusumaningsih, Indriyo K. Sukmono, A. Saputra",2024,https://www.semanticscholar.org/paper/ce6fa737e955fc7877a8c87e98041fb7df86a88e,Increased interest in the Indonesian language and culture among foreign students in the United States has drawn attention to the internationalization of Indonesian cuisine as an integral part of Indonesian Language for Foreign Speakers (BIPA) education. This research aims to explore the potential fo
3,Discursive practices instilling the peace values for foreign learners in the BIPA textbook,"Roekhan Roekhan, I. Suyitno, Kusubakti Andajani, Martutik Martutik",2024,https://www.semanticscholar.org/paper/bc32ef866d5f1593df10cb47600182ea4f306487,"Studies to inculcate new values for students, including foreign learners, are necessary, given the high incidence of injustice and bullying. The inculcation of these values in Indonesian language learning for foreign learners (BIPA) is closely related to the cultural learning of Indonesian people wh"
4,Technology in listening and writing learning for BIPA learners,"Hazhiyah Flldzah Nurramdhani, Nuny Sulistiany Idris, I. Widia",2024,https://www.semanticscholar.org/paper/d916f2ff8b0a31c61a5ab7a0dfb5d72c135e133b,"This research discusses the use of technology in BIPA learning, with a particular focus on listening and writing skills. This research will explore how technology can improve BIPA students' listening and writing skills. By understanding the potential and challenges of using technology in BIPA learni"
5,"The Effect of Convenience, Attractiveness, and Motivation on the Effectiveness of Online and Offline BIPA Learning Based on Teacher Perceptions","Cep Abdul, Baasith Wahpiyudin, Yulianto Sri, Andri Wicaksono",2024,https://www.semanticscholar.org/paper/171487d19757414b323e78a768aa64974ff93bd7,"Teachers must create an engaging, convenient, and motivating learning environment to ensure the effectiveness of both online and offline BIPA learning. This research aims to identify the characteristics of BIPA (Indonesian Language for Foreign Speakers) teachers and analyze the differences in the le"
6,BIPA learning practices of international students in higher education: A phenomenon of language integration based on psychopragmatics approach,"Wahyudi Rahmat, R. Tiawati, K. Saddhono, Emil Septia, Yulia Sri Hartati, I. Nisja, Suci Dwinitia, Zulfitri Yani, L. Mana",2024,https://www.semanticscholar.org/paper/1d08325ea35d67b7312eb564ace82b8504ffe48f,"Through the BIPA (Indonesian for Foreign Speakers) program, Indonesian has become one of the world's most important languages. The phenomenon of international students speaking Indonesian for Foreign Speakers (BIPA) is fascinating. It will be interesting to see how they express themselves through th"
7,Appraisal Attitude Analysis of Korean Expatriates' Cross-Culture Experience in Indonesia: The Implication for BIPA Teaching,"Ade Mulyanah, Rini Widiastuti, Sariah Sariah, Sang Ayu Putu Eny Parwati, Exti Budihastuti, Resti Nurfaidah",2024,https://www.semanticscholar.org/paper/d8066370c545932ae01984ce83489ffc7cd2d235,"AbstractThis research investigates the appraisal attitude framework to identify the level of attitude (affect, judgment, and appreciation) in Korean expatriates in Indonesia in their reflective journals (R.J.). The research uses the grant theory proposed by (J.R Martin & White, 2005; Oteíza, 2017). "
8,Development of an Optical Switching BIPA‐TC‐HOF Film‐Based Optical Waveguide and Evaluation of Its ON‐OFF Gas Sensing Characteristics,"P. Nizamidin, Yanmei Li, Xiangdi Du, Reziwanguli Abulimiti",2024,https://www.semanticscholar.org/paper/73b410a8153ae7deeecc5a49a52fba608242acc0,"Optical switching materials that respond to external stimuli including acidity/alkalinity, redox conditions, temperature, and guest molecules are extremely desirable. This paper reports hydrogen‐bonded organic framework (HOF) films with structure‐dependent optical switching properties in the presenc"
9,Design of an interactive digital encyclopedia of Palembang urban culture on a web-based HTML5 platform as an implication for BIPA learning,"Hastari Mayrita, Vivi Sahfitri, Fitria Aprilia, Leon A. Abdillah, Haris Saputra",2024,https://www.semanticscholar.org/paper/4da749ce9198679da8338a1bb5fcca1434db36c3,"The need for BIPA (Indonesian Language for Foreign Speakers) learning facilities, particularly in the form of materials and audio-visual learning media, is critical. This can also serve as an attraction for tourists interested in learning the Indonesian language. An interactive digital encyclopaedia"
10,Identification of curriculum and empirical needs for the writing BIPA 4 GBL model,"Dewi Suharyanti, Suci Sundusiah, H. Halimah",2024,https://www.semanticscholar.org/paper/27a0d7ad2a70e03b2b9a5834baa78aaa5993b89d,"As a skill that experts place at the highest level in language acquisition, writing skills become considered the most difficult. BIPA level 4 is the initial level of complex writing according to the SKL BIPA Permendikbud No. 27 of 2017. Writing skills considered difficult should be packaged with a f"
