rank,titulo,autores,data,link,resumo
1,Regulating Facial Processing Technologies: Tensions Between Legal and Technical Considerations in the Application of Illinois BIPA,"Rui-Jie Yew, Alice Xiang",2022-05-15,https://arxiv.org/abs/2205.07299v1,Harms resulting from the development and deployment of facial processing technologies (FPT) have been met with increasing controversy. Several states and cities in the U.S. have banned the use of faci
2,Protecting Persona Biometric Data: The Case of Facial Privacy,"Lambert Hogenhout, Rinzin Wangmo",2025-10-03,https://arxiv.org/abs/2510.03035v1,"The proliferation of digital technologies has led to unprecedented data collection, with facial data emerging as a particularly sensitive commodity. Companies are increasingly leveraging advanced faci"
