regiao,valor
Santa Catarina,100
Distrito Federal,89
Rio Grande do Sul,88
Mato Grosso do Sul,87
São Paulo,86
Espírito Santo,86
Paraná,85
Rio de Janeiro,85
Mato Grosso,84
Tocantins,84
Pará,82
Ceará,81
Roraima,80
Rondônia,77
Minas Gerais,75
Rio Grande do Norte,72
Paraíba,69
Goiás,69
Amazonas,68
Alagoas,65
