query,value
bitcoin hoje,100
bitcoin dolar,54
dolar,54
bitcoin dólar,39
bitcoin dólar hoje,23
dólar hoje,23
valor bitcoin,22
bitcoin usd,22
bitcoin real,18
dolar hoje,17
bitcoin dolar hoje,17
cotação bitcoin,12
ethereum,11
bitcoin usd hoje,10
bitcoin hoje real,10
bitcoin em dolar,9
valor do bitcoin,9
grafico bitcoin,9
preço bitcoin,8
mercado bitcoin,8
