regiao,valor
Rondônia,100
Pará,91
Tocantins,84
Mato Grosso,70
Rio Grande do Sul,68
Espírito Santo,64
Maranhão,63
São Paulo,62
Paraná,58
Goiás,57
Rio de Janeiro,57
Santa Catarina,57
Mato Grosso do Sul,56
Distrito Federal,56
Ceará,54
Pernambuco,54
Minas Gerais,53
Amazonas,52
Paraíba,46
Bahia,41
