"query","value"
"bitcoin hoje","100"
"dolar","52"
"bitcoin dolar","51"
"bitcoin dólar","37"
"bitcoin usd","26"
"bitcoin hoje dólar","19"
"dólar hoje","19"
"bitcoin valor","17"
"dolar hoje","14"
"bitcoin real","14"
"bitcoin hoje dolar","13"
"bitcoin cotação","12"
"bitcoin price","11"
"bitcoin hoje usd","10"
"bitcoin em dolar","10"
"ethereum","9"
"bitcoin preço","8"
"bitcoin news","7"
"valor do bitcoin","7"
"bitcoin agora","7"
