"query","value"
"mercado bitcoin","351200"
"bitcoin tattoo","288700"
"bitcoin usd","203350"
"gráfico bitcoin dólar","185450"
"solana","169850"
"ethereum","157000"
"bitcoin gif","152100"
"preço do bitcoin","142050"
"btc","37800"
"grafico bitcoin agora","32250"
"mineradora de bitcoin","31350"
"bitcoin black","30450"
"bitcoin hoje usd","30400"
"strategy bitcoin","29350"
"bitcoin simbolo","21750"
"bitcoin autocustódia","18600"
"preço do bitcoin hoje","17800"
"o que é minerar bitcoin","17100"
"moeda bitcoin fisica","16850"
"quanto vale um bitcoin","130"
