"regiao","valor"
"Distrito Federal","100"
"Santa Catarina","99"
"São Paulo","95"
"Rio Grande do Sul","93"
"Roraima","92"
"Rio de Janeiro","86"
"Espírito Santo","85"
"Paraná","84"
"Pará","84"
"Mato Grosso do Sul","83"
"Mato Grosso","82"
"Acre","81"
"Tocantins","81"
"Ceará","80"
"Minas Gerais","79"
"Rio Grande do Norte","78"
"Amazonas","77"
"Goiás","75"
"Rondônia","71"
"Alagoas","68"
