title,developer,rating,ratings_count,id,url
"Crypto.com: Compre Cripto, BTC",Crypto.com,4.7,8390,1262148500,https://apps.apple.com/br/app/crypto-com-compre-cripto-btc/id1262148500?uo=4
Binance: Compre BTC e Cripto,Binance Switzerland AG,4.8,152354,1436799971,https://apps.apple.com/br/app/binance-compre-btc-e-cripto/id1436799971?uo=4
TradingView - Ações e Cripto,TradingView,4.9,25361,1205990992,https://apps.apple.com/br/app/tradingview-a%C3%A7%C3%B5es-e-cripto/id1205990992?uo=4
MEXC: Compre Bitcoin e Cripto,"MEXC Fintech, Inc.",4.9,1941,1605393003,https://apps.apple.com/br/app/mexc-compre-bitcoin-e-cripto/id1605393003?uo=4
CoinMarketCap: Crypto Tracker,CoinMarketCap,4.9,22540,1282107098,https://apps.apple.com/br/app/coinmarketcap-crypto-tracker/id1282107098?uo=4
Bybit: Compre e negocie cripto,Bybit Fintech Limited,4.9,14188,1488296980,https://apps.apple.com/br/app/bybit-compre-e-negocie-cripto/id1488296980?uo=4
KuCoin-Compre Bitcoin e Cripto,KuCoin Pro,4.7,2041,1378956601,https://apps.apple.com/br/app/kucoin-compre-bitcoin-e-cripto/id1378956601?uo=4
Exodus: Wallet Cripto Bitcoin,"Exodus Movement, Inc.",4.7,1285,1414384820,https://apps.apple.com/br/app/exodus-wallet-cripto-bitcoin/id1414384820?uo=4
"OKX: Cartão 0 IOF, BTC, Cripto",OKX MALTA LTD,4.7,2150,1327268470,https://apps.apple.com/br/app/okx-cart%C3%A3o-0-iof-btc-cripto/id1327268470?uo=4
CoinEx: Compre BTC e Cripto,Coinex Global Limited,4.9,823,1626447428,https://apps.apple.com/br/app/coinex-compre-btc-e-cripto/id1626447428?uo=4
