regiao,valor
Santa Catarina,100
Distrito Federal,99
Rio de Janeiro,92
São Paulo,85
Espírito Santo,85
Rio Grande do Sul,83
Paraná,80
Minas Gerais,77
Mato Grosso do Sul,74
Goiás,72
Rondônia,70
Mato Grosso,65
Roraima,64
Paraíba,63
Rio Grande do Norte,62
Tocantins,62
Bahia,58
Amazonas,57
Acre,55
Pará,53
