title,developer,rating,ratings_count,id,url
"Bipa - Bitcoin, Cartão e Pix",Bipa Ltda,4.8,8503,1516842324,https://apps.apple.com/br/app/bipa-bitcoin-cart%C3%A3o-e-pix/id1516842324?uo=4
BlueWallet - Carteira Bitcoin,"Bluewallet Services, S. R. L.",4.4,279,1376878040,https://apps.apple.com/br/app/bluewallet-carteira-bitcoin/id1376878040?uo=4
Binance: Compre BTC e Cripto,Binance Switzerland AG,4.8,152354,1436799971,https://apps.apple.com/br/app/binance-compre-btc-e-cripto/id1436799971?uo=4
BILLA,BILLA AG,4.7,6,378479081,https://apps.apple.com/br/app/billa/id378479081?uo=4
CoinEx: Compre BTC e Cripto,Coinex Global Limited,4.9,823,1626447428,https://apps.apple.com/br/app/coinex-compre-btc-e-cripto/id1626447428?uo=4
Vipassana Timer (VipaTimer),Matthias Pochmann,4.4,17,1203306112,https://apps.apple.com/br/app/vipassana-timer-vipatimer/id1203306112?uo=4
Crediário Digital,T2 - SOFTWARE LTDA,4.7,718,1576751535,https://apps.apple.com/br/app/credi%C3%A1rio-digital/id1576751535?uo=4
Nixbank,Nixbank,2.0,5,6449849408,https://apps.apple.com/br/app/nixbank/id6449849408?uo=4
Apple Wallet,Apple,4.9,450232,1160481993,https://apps.apple.com/br/app/apple-wallet/id1160481993?uo=4
VIPA,Thai Public Broadcasting Service,,0,1472510460,https://apps.apple.com/br/app/vipa/id1472510460?uo=4
