author,rating,title,content,votes,date
Fabipol,3,QR não funciona,"Estou na Argentina e o pagamento por qr code não funcionou em nenhum estabelecimento!! Ficarei mais 2 dias, esperando feedback de vcs ate la para resolver e reavaliar. Obrigada",0,2023-08-04T05:08:16-07:00
Joia lee,1,Não consigo acessar minha conta,"Fiquei um tempo, sem entrar na minha conta 
Agora o app fica dando erro",0,2023-08-01T17:14:58-07:00
Tom140117,1,Roubo em Cima de roubo,"Roubo, isso é só promessa",0,2023-07-07T11:49:13-07:00
Giselio91,1,Dados cadastrais,"Olá tudo bem, primeira experiência negativa , não  consigo terminar o cadastro , simplesmente não aceita minha data de aniversário 20/10/1991 , aceita um dia antes ou depois mas não aceita a minha data de aniversário , lamentável",0,2023-06-27T07:20:54-07:00
Nelly ratazana 🐀,1,Me,Como retiro o dinheiro que depositei,0,2023-06-16T08:04:47-07:00
Luccas David,1,⚠️ GOLPEEE!! ⚠️,"Aplicativo para arrancar dinheiro fácil, fiz o PIX e o dinheiro não caiu no app, e na hora que clica no suporte a página da erro!",0,2023-06-01T21:03:45-07:00
analuizabsa,5,Melhor app,Adoro a usabilidade do app. Muito fácil de começar.,0,2023-05-30T10:51:47-07:00
"Maravilhosa, e abençoada!",1,GOLPE GOLPE GOLPE GOLPE!,"Galera pelo amor de Deus não coloquem dinheiro! Não cheguei a colocar o dinheiro. Mas são golpistas. 
Veja as avaliações em geral.",0,2023-05-18T18:04:58-07:00
Elton Matheus,1,aproveitadores,"eu fui depositar um dinheiro quando fui no app meu dinheiro não estava lá,entrei em contato com eles mais só me ficam dando prazo e nada de me devolver o dinheiro",0,2023-05-09T09:51:52-07:00
oldbatVik,1,Problema com recuperação senha,Tento recuperar minha senha e automaticamente da solicitação expirada…. Não consigo entrar na minha conta,0,2023-05-08T08:39:46-07:00
anamaro91,5,Excelente aplicación para pagar en viajes,"Vivimos en Brasil y recientemente viajamos a Argentina de vacaciones. Como hay tanta fila para hacer cambios de dinero en Argentina, decidimos pagar con USDT através de Bitso usando el QR de Mercado Pago. Funciono perfecto!!! Y la tasa de conversión fue el dólar BLUE lo cual hizo que nuestro dinero rindiera más. Súper recomiendo este aplicativo!!!",0,2023-04-21T05:44:15-07:00
pehducortii,1,Reclamação,"Não estou conseguindo acessar o App, e eu tinha efetuado uma recarga, aparece a mensagem “não é possível conectar nos servidores da bitso”
E agora?",0,2023-04-18T20:09:14-07:00
Levei golpe,1,Golpe,Esse aplicativo foi feito o golpistas.,0,2023-04-16T18:08:30-07:00
LariCarolinss,1,Eles sao fraudadores,"Meninas que gostam de suggar daddies, ten uns palhaços dando golpe pra você ganhar $3000 week, te engabela o dia inteiro, e depois manda um e-mail com o comprovante mentiroso de depósito no Paypal/Square e depois manda você depositar dinheiro nesse app com a mentira que é para pgar impostos.",1,2023-04-07T14:37:58-07:00
riodasalmas2022,3,Melhoria nas informações,"Boa tarde. Por gentileza, inserir informativo ou gráfico individual de cada criptomoeda para visualizar as perdas e ganhos, e facilitar a visualização de quanto foi investido em cada criptomoeda.

Exemplo: a corretora Clear traz as informações acima, no caso dela,para as ações e fundos imobiliários.

Grato pela atenção.",0,2023-03-18T10:28:33-07:00
Danycassia,1,Golpe,"Gente não caia nessa não, esse aplicativo é propaganda enganosa, perdi meus 50 reais.",0,2023-03-10T14:37:34-07:00
vanessinhagsp,1,Desapontada,"Do nada parou de reconhecer o meu login e nem me dá opção de redefinir a minha senha, agora não consigo ter acesso de jeito nenhum",0,2023-02-23T13:12:27-07:00
Costadm7,2,Portal para Golpes,"CUIDADO CUIDADO CUIDADO CUIDADO
Ainda que a empresa fornecedora do APP não seja responsável pelos crimes, eu quase fui induzido a cair num golpe. Conta clonada no Instagram de alguém de confiança, quase não percebi se não tivesse feito minhas perguntas e a pessoa se mostrasse evasivo. Pediu para investir 35 reais para ganhar mil kkkkk graças a Deus não perdi meus 35 reais.",0,2023-02-21T13:41:42-07:00
Alves023,1,Estão usando o app para dá golpe,Eu baixei o app apliquei uma quantia e depois de quatro dias tentei retirar daí descobri que cai em um golpe,0,2023-02-20T15:38:31-07:00
