"regiao","valor"
"Sergipe","100"
"Distrito Federal","89"
"Paraíba","71"
"Bahia","70"
"Amazonas","67"
"Alagoas","66"
"Santa Catarina","65"
"Espírito Santo","58"
"Rio Grande do Norte","56"
"Maranhão","56"
"Minas Gerais","54"
"Mato Grosso do Sul","53"
"Goiás","53"
"Ceará","51"
"Pará","50"
"São Paulo","49"
"Paraná","48"
"Rio de Janeiro","43"
"Rio Grande do Sul","42"
"Pernambuco","38"
