engine,rank,title,link,snippet,displayed_link,date,position,about_this_result,sitelinks,regiao,termo,tentativa
bing,1,"Bitcoin (BTC) Preço, Gráfico, Capitalização de Mercado",https://coinmarketcap.com/pt-br/currencies/bitcoin/,"O Bitcoin é um sistema inovador de pagamento digital que permite às pessoas enviarem dinheiro diretamente umas para as outras, sem a necessidade de bancos ou intermediários.O preço de agora de Dog (Bitcoin) de hoje …O preço de agora de Avalanche de hoje é …O preço de agora de Ethervista de hoje é …O preço de agora de Virtuals Protocol de …O preço de agora de Aave de hoje é de …O preço de agora de Cardano de hoje é de …Aprenda mais sobre o Bitcoin — que utiliza …Baby Doge Coin é uma nova criptomoeda …",https://coinmarketcap.com › pt-br › currencies › bitcoin,,1,,"{""expanded"": [{""title"": ""Bitcoin"", ""link"": ""https://www.bing.com/ck/a?!&&p=e4afe8842227b37edd617335b519c579d9e75c778e425c06b988ddfdb502ea84JmltdHM9MTc2NTQxMTIwMA&ptn=3&ver=2&hsh=4&fclid=2c7abfde-a58d-60f5-0720-a966a441611e&u=a1aHR0cHM6Ly9jb2lubWFya2V0Y2FwLmNvbS9wdC1ici9jdXJyZW5jaWVzL2RvZy1nby10by10aGUtbW9vbi1ydW5lLw&ntb=1"", ""snippet"": ""O pre\u00e7o de agora de Dog (Bitcoin) de hoje \u2026""}, {""title"": ""Avalanche"", ""link"": ""https://www.bing.com/ck/a?!&&p=dab750c72f933d30a6649a06f5d101f73c2e19429ae7a40f2b25b9963851583cJmltdHM9MTc2NTQxMTIwMA&ptn=3&ver=2&hsh=4&fclid=2c7abfde-a58d-60f5-0720-a966a441611e&u=a1aHR0cHM6Ly9jb2lubWFya2V0Y2FwLmNvbS9wdC1ici9jdXJyZW5jaWVzL2F2YWxhbmNoZS8&ntb=1"", ""snippet"": ""O pre\u00e7o de agora de Avalanche de hoje \u00e9 \u2026""}, {""title"": ""Ethervista"", ""link"": ""https://www.bing.com/ck/a?!&&p=d0e55c528aac69e79c2c7600b08e649f264a5ec9c300e81c74bbde94d67ff7b9JmltdHM9MTc2NTQxMTIwMA&ptn=3&ver=2&hsh=4&fclid=2c7abfde-a58d-60f5-0720-a966a441611e&u=a1aHR0cHM6Ly9jb2lubWFya2V0Y2FwLmNvbS9wdC1ici9jdXJyZW5jaWVzL2V0aGVydmlzdGEv&ntb=1"", ""snippet"": ""O pre\u00e7o de agora de Ethervista de hoje \u00e9 \u2026""}, {""title"": ""Virtual"", ""link"": ""https://www.bing.com/ck/a?!&&p=01e853d64a9bea32452371412959185ca8b05845ec5ec75a99e5ffa826891a8aJmltdHM9MTc2NTQxMTIwMA&ptn=3&ver=2&hsh=4&fclid=2c7abfde-a58d-60f5-0720-a966a441611e&u=a1aHR0cHM6Ly9jb2lubWFya2V0Y2FwLmNvbS9wdC1ici9jdXJyZW5jaWVzL3ZpcnR1YWwtcHJvdG9jb2wv&ntb=1"", ""snippet"": ""O pre\u00e7o de agora de Virtuals Protocol de \u2026""}, {""title"": ""AAVE"", ""link"": ""https://www.bing.com/ck/a?!&&p=97c27e65dafa930c4dfb9b3db6f7ef74a46a3299da543068e529846924a8dcbeJmltdHM9MTc2NTQxMTIwMA&ptn=3&ver=2&hsh=4&fclid=2c7abfde-a58d-60f5-0720-a966a441611e&u=a1aHR0cHM6Ly9jb2lubWFya2V0Y2FwLmNvbS9wdC1ici9jdXJyZW5jaWVzL2FhdmUv&ntb=1"", ""snippet"": ""O pre\u00e7o de agora de Aave de hoje \u00e9 de \u2026""}, {""title"": ""Cardano"", ""link"": ""https://www.bing.com/ck/a?!&&p=46fd9acb9163089484644827d4e4ab4c3a43234749725d2cd40e8aa2f06a2031JmltdHM9MTc2NTQxMTIwMA&ptn=3&ver=2&hsh=4&fclid=2c7abfde-a58d-60f5-0720-a966a441611e&u=a1aHR0cHM6Ly9jb2lubWFya2V0Y2FwLmNvbS9wdC1ici9jdXJyZW5jaWVzL2NhcmRhbm8v&ntb=1"", ""snippet"": ""O pre\u00e7o de agora de Cardano de hoje \u00e9 de \u2026""}, {""title"": ""KAS"", ""link"": ""https://www.bing.com/ck/a?!&&p=623bff33b044609a6c197969a95fc1f4e7229dcdcc661554fe0be74668dd9264JmltdHM9MTc2NTQxMTIwMA&ptn=3&ver=2&hsh=4&fclid=2c7abfde-a58d-60f5-0720-a966a441611e&u=a1aHR0cHM6Ly9jb2lubWFya2V0Y2FwLmNvbS9wdC1ici9jdXJyZW5jaWVzL2thc3BhLw&ntb=1"", ""snippet"": ""Aprenda mais sobre o Bitcoin \u2014 que utiliza \u2026""}, {""title"": ""Baby Doge Coin"", ""link"": ""https://www.bing.com/ck/a?!&&p=5207cdbbc7a740365f19da17ad60ed7acb8325f77442ac29e15198110f5e8f6cJmltdHM9MTc2NTQxMTIwMA&ptn=3&ver=2&hsh=4&fclid=2c7abfde-a58d-60f5-0720-a966a441611e&u=a1aHR0cHM6Ly9jb2lubWFya2V0Y2FwLmNvbS9wdC1ici9jdXJyZW5jaWVzL2JhYnktZG9nZS1jb2luLw&ntb=1"", ""snippet"": ""Baby Doge Coin \u00e9 uma nova criptomoeda \u2026""}]}",br,BITCOIN,1
bing,2,Cotação Bitcoin Hoje e Preço (BTC) - Investing.com,https://br.investing.com/crypto/bitcoin,"Acompanhe a cotação do Bitcoin hoje e veja o preço da criptomoeda agora. Valor do Bitcoin atualizado, gráficos e histórico de preços do BTC.",https://br.investing.com › crypto › bitcoin,28 de out. de 2025,2,,,br,BITCOIN,1
bing,3,BTC USD — Preço e Gráfico do Bitcoin — TradingView,https://br.tradingview.com/symbols/BTCUSD/,"Assista ao gráfico Bitcoin/Dólar ao vivo, siga os preços do BTCUSD em tempo real e obtenha o histórico de preços do Bitcoin. Verifique a análise técnica e …",https://br.tradingview.com › symbols › BTCUSD,,3,,,br,BITCOIN,1
bing,4,Bitcoin Preço Hoje | BTC para USD Preço Em Tempo …,https://www.binance.com/pt-BR/price/bitcoin,"1 Bitcoin atualmente custa $91,833.50, queda de 0.76% nas últimas 24h. …",https://www.binance.com › pt-BR › price › bitcoin,,4,,,br,BITCOIN,1
bing,5,Bitcoin - Dinheiro P2P de código aberto,https://bitcoin.org/pt_BR/,"Bitcoin é um sistema de pagamento descentralizado e um tipo de dinheiro digital. Saiba como usar, comprar, desenvolver e participar da rede Bitcoin em bitcoin.org.",https://bitcoin.org › pt_BR,,5,,,br,BITCOIN,1
bing,6,Portal do Bitcoin,https://portaldobitcoin.uol.com.br/,"Tudo sobre o universo das criptomoedas no Portal do Bitcoin. Cobertura diária de Bitcoin, blockchain, NFTs, …",https://portaldobitcoin.uol.com.br,3 dias atrás,6,,,br,BITCOIN,1
bing,7,Bitcoin (BTC) | Cotação hoje e Histórico | Status Invest,https://statusinvest.com.br/criptomoedas/btc,"O Bitcoin é uma moeda digital imutável, dado que todas as transações são registradas na rede blockchain, onde é impossível apagar o que foi feito, tornando todas as transações transparentes …",https://statusinvest.com.br › criptomoedas › btc,,7,,,br,BITCOIN,1
bing,8,"Cotação do Bitcoin (BTC) Hoje, Histórico e Valor em Reais",https://investidor10.com.br/criptomoedas/bitcoin/,"Confira a cotação do Bitcoin (BTC) hoje, veja quanto vale um Bitcoin em reais, retorno histórico da moeda, fundamentos e histórico de preços em reais e dólar.",https://investidor10.com.br › criptomoedas › bitcoin,2 dias atrás,8,,,br,BITCOIN,1
bing,9,Bitcoin (BTC) Preço | BTC para o preço em USD e …,https://www.coindesk.com/pt-br/price/bitcoin,O que é Bitcoin? Bitcoin é uma moeda digital descentralizada que utiliza criptografia para garantir transações e controlar a oferta de novas moedas.,https://www.coindesk.com › pt-br › price › bitcoin,,9,,,br,BITCOIN,1
bing,10,Bitcoin inicia dezembro abaixo de US$ 90 mil com temor de vendas …,https://valor.globo.com/financas/criptomoedas/noticia/2025/12/01/bitcoin-inicia-dezembro-abaixo-de-us-90-mil-com-temor-de-vendas-pela-strategy-e-insolvncia-da-tether.ghtml,"O bitcoin (BTC) iniciou dezembro com forte baixa, oscilando novamente abaixo de US$ 90 mil, com o temor de que vendas de grandes lotes ampliem consideravelmente a …",https://valor.globo.com › financas › criptomoedas › noticia › bitcoin-inicia...,1 de dez. de 2025,10,,,br,BITCOIN,1
